,ktest,p-value,p-value_adjadj,cluster
AACS,102.31858508742629,3.155972733883949e-21,1.3097286845618387e-20,2
ACSL6,13.014742367401068,0.011203984317364751,0.016314573655110076,0
ACSS1,47.48841721999034,1.2064096207856945e-09,3.034302985612504e-09,1
ALAS1,27.39822240046279,1.6513634732939663e-05,3.1875155414744004e-05,1
AMDHD2,4.79341369549943,0.3091587253524939,0.3829876746904029,1
ARHGEF2,68.57883958230184,4.5283367428919366e-14,1.3920442580001137e-13,2
BATF,3.3591250499449665,0.4996192449655683,0.6009912656832198,2
BCL11A,20.264935027792504,0.0004427073242697685,0.0007498919982528732,1
betaglobin,73.21601537354826,4.74924522894069e-15,1.516105207700297e-14,0
BPI,420.6655821656427,9.519110280969243e-90,1.1286945047434959e-88,2
CD151,73.67450100425737,3.7993119067958815e-15,1.2613715530562326e-14,2
CD44,36.20546377851114,2.6252998481282785e-07,5.587176599862747e-07,2
CREG1,41.940159676933824,1.7164915753295164e-08,3.850508128441888e-08,1
CRIP2,175.9078369045115,5.6397991544763185e-37,3.120688865476896e-36,2
CTCF,209.62137445011828,3.204988154656878e-44,1.900100120260863e-43,1
CTSA,146.35163273472304,1.2314281514125303e-30,5.6782520315133345e-30,0
CYP51A1,1537.5514367169926,0.0,0.0,2
DCP1A,9.685056510884374,0.04608053594862313,0.06269974563501181,1
DCTD,27.24997059386511,1.7694549402805778e-05,3.3378354555292716e-05,1
DHCR24,617.4129933898928,2.638895990843754e-132,7.27434602045783e-131,2
DHCR7,1061.3543004560902,1.8009015835450485e-228,7.473741571711951e-227,2
DPP7,0.15709410378222913,0.9970720559769115,1.0,1
EGFR,0.25468119140813,0.9925487077193251,1.0,2
EMB,46.63559334577793,1.8160750741568642e-09,4.433359739853522e-09,2
FAM208B,7.052476761315388,0.13314091962046049,0.1726671301327847,1
FHL3,616.8430881629962,3.5057089255218456e-132,7.27434602045783e-131,2
FNIP1.F1.R1,23.509323968806022,0.00010015764795203686,0.00017687414425572468,1
GLRX5,13.57634557113514,0.008777474876604179,0.013009471692109765,1
GPT2,3.268438979064599,0.5139483215446053,0.6093958669743178,0
GSN,64.37317150212098,3.4874339520719707e-13,1.0337750643641913e-12,2
HMGCS1,473.94472348168205,2.88893288891188e-101,4.79562859559372e-100,2
HRAS1,8.432758310351398,0.07695182960780017,0.10138098186424467,2
HSD17B7,414.59564758547316,1.9515682721712347e-88,2.024752082377656e-87,2
HSP90AA1,4.323348747838683,0.36401047965998284,0.44430690899674374,1
HYAL1,0.020413474805422136,0.9999482643402845,0.9999482643402845,0
LCP1,138.59187506164062,5.650500783854367e-29,2.4683766582100654e-28,2
LDHA,97.26515800666192,3.7575618743559776e-20,1.4176256162343007e-19,2
MAPK12,0.4202020638440482,0.9807897364302368,1.0,0
MFSD2B,10.772374638765994,0.029244905462346947,0.04045545255624661,0
MID2,56.85665116685886,1.3258690155438572e-11,3.668237609671338e-11,2
MKNK2,15.035795606442463,0.004627547589366695,0.007112712035508069,0
MTFR1,9.045947695504584,0.059961212028742154,0.08027065481267094,1
