,ktest,p-value,p-value_adj,cluster
HBA1,64.12099158849588,3.9410591372903134e-13,1.0651511181865713e-11,3
HBBA,51.795710825613995,1.5220255952213978e-10,3.3108816856568455e-09,3
HINTW,0.6894122365757271,0.9526281612656743,1.0,4
ENSGALG00000052767,49.246983289731396,5.185513425867094e-10,1.069178025951978e-08,3
ENSGALG00000053077,1.747934925614297,0.7819928813813751,1.0,0
HBAD,41.76865443003565,1.862881080408861e-08,3.401412425359108e-07,3
KPNA2,0.06198791944541272,0.9995294973571853,1.0,1
ENSGALG00000047563,1.1656576761522146,0.8837198414122703,1.0,1
THY1,2.25980384024815,0.688096638241072,1.0,1
ENSGALG00000050153,0.20631540579383412,0.9950313880808268,1.0,1
LDHA,16.15616365164935,0.0028166165813994356,0.021666281395380273,0
CRIP1,2.9493222345661714,0.5663417111820281,1.0,0
MLANA,0.31025668637742887,0.9891424872005018,1.0,0
ID2,5.798794677950399,0.21468674222256523,0.6993053492591702,0
CD99,0.565433034930147,0.9668263176552544,1.0,1
HIST1H101,3.203550371470361,0.5243576916213237,1.0,4
HSPA5,4.970390226434034,0.2903491589061225,0.8577523158231093,0
MT-MT-CO1,0.06411162543405571,0.9994970614860988,1.0,1
RSFR,4.3712691712579765,0.35808565031902484,0.9639909222433671,0
MT-ND3,0.3724713690453433,0.9846680679109939,1.0,4
CDK1,3.2093389721582737,0.5234238640341576,1.0,4
ENSGALG00000050596,20.40342897986472,0.0004156580446089504,0.003884654622513555,4
HSP90B1,0.2824165223099606,0.9909207854359612,1.0,1
IFI6,0.14240148615618736,0.9975823931342294,1.0,1
ENSGALG00000053107,4.072637945113808,0.396264621368886,1.0,0
CCDC170,12.330953320943332,0.015052637180922653,0.0872616648169429,1
MT-ND4L,0.8228930782329682,0.9353528451869701,1.0,1
ENSGALG00000011747,0.7247258043902913,0.9482450847288927,1.0,4
SAT1,2.054138529988786,0.7258018560769219,1.0,1
TUBB1,4.3458208864453,0.3612225041043434,0.9697248432331368,4
DDC,4.206981373537074,0.3787180883909586,0.9927079643275455,1
ENSGALG00000040263,7.866810722204375,0.09658074653280553,0.39992027549815956,0
LBH,0.2052909858147144,0.9950789413609776,1.0,4
PTGS1,5.106871360611058,0.27650655601904633,0.8308883148044418,0
ASTL,26.77929654698329,2.2029255438964714e-05,0.0002532098326317783,1
SMC2,2.9667525310678147,0.5634046141039517,1.0,2
MARCKSL1,0.7549144188404153,0.9443881591598665,1.0,1
FTL,1.596066179081426,0.8094989927643503,1.0,1
PCNA,0.23889430181844884,0.9934096097797862,1.0,4
RPLP1,1.8041663636318606,0.7717200032920085,1.0,4
RLN3,7.892847424405938,0.09558313571681065,0.3966105216465173,1
PDLIM1,2.9180703326590534,0.5716284268309995,1.0,4
LAMP3,7.416440724567872,0.11545085146109421,0.4554274219372553,0
ATP1B1,1.4403512762470858,0.8371523237274517,1.0,4
LY6E,13.187649521826428,0.010394386529213746,0.06476253289229748,0
CSTA,13.757013128616057,0.00811234583359275,0.05372414459332947,0
ENSGALG00000043758,2.2288612237836474,0.693749003808813,1.0,0
HINT2,8.744212917715942,0.06782079887352914,0.3020970996593726,0
CD200R1,0.9099566346213466,0.9231280525082626,1.0,1
RPLP0,9.387469066383835,0.0521115759572676,0.24408232298485993,4
ENSGALG00000037441,0.008405297868758774,0.9999911935747731,1.0,1
C11H16orf70,4.222036371545384,0.37678968111208155,0.9902488334088871,1
CDC20,6.809072919435473,0.14632846318120155,0.5553262359817895,4
CCNB1,2.310264860948284,0.6789008021372411,1.0,4
HIST1H103,0.19707885017272564,0.9954524486078182,1.0,4
ENSGALG00000040725,1.004876857516972,0.9090555992654862,1.0,1
TEC,5.570877676157058,0.23356916951791162,0.7469655460190744,1
MT-ATP8,0.5409169463483969,0.9693974022255315,1.0,0
RRM2,0.7332466715294168,0.9471665247336246,1.0,1
ALAS1,15.525545496251059,0.0037265948560630804,0.027502545063196167,0
DPYSL3,1.6804242803980842,0.794270431704676,1.0,1
CHAC1,5.414025389941491,0.24739071594738427,0.7716181389088632,1
TARP,0.28716104557477107,0.9906278222545443,1.0,1
RPLP2,4.3764580881940045,0.35744869413786334,0.966049241551843,4
PPP1R14B,16.8457880659755,0.0020709418619885922,0.016501528780785597,1
CLCN5,3.07831454646953,0.544806262348328,1.0,1
ARAP2,0.8795755106687783,0.927472583284371,1.0,1
RPS26,0.25857636505097475,0.9923288989799666,1.0,1
LPAR3,19.250640694428245,0.0007016467522345615,0.006321141912023077,1
RFESD,0.2190788945635778,0.9944211892682763,1.0,1
ALG10,0.6924834109010524,0.9522526248018414,1.0,1
AvBD14,3.8454395899105243,0.42732724584462833,1.0,1
MAMLD1,2.9440242501367244,0.5672360882509906,1.0,1
ENSGALG00000050194,0.4939445297428162,0.9740877958716724,1.0,1
DIPK1A,73.3121828124935,4.5320742211535855e-15,1.3761834066952328e-13,1
TOP2A,3.9376113028026474,0.41451508283751914,1.0,4
ENSGALG00000032052,0.23870487027042664,0.9934196460238208,1.0,1
ENSGALG00000011164,0.8983084814825486,0.924803370284901,1.0,1
HMGB2,13.007456654107475,0.011239416825038045,0.06895347745422113,2
CD83,9.952938307078657,0.041227935655469505,0.19958132917331278,1
CDKN2A,0.27065479157616584,0.9916289023982395,1.0,1
ENSGALG00000040833,1.734010801648514,0.7845306457749309,1.0,4
SLC20A1,0.5295878171920019,0.9705574150982595,1.0,1
TUBA3E,1.9269533017711828,0.7491920292386618,1.0,4
PABPC1L,2.8219020169850015,0.5880579805926416,1.0,1
LCP1,1.8082353209915563,0.770975309784756,1.0,0
ENSGALG00000051178,10.442652079175637,0.03359617808630626,0.16967766710255686,1
TANK,6.202346238005447,0.18453796586349427,0.6298224090904241,1
HSPA8,4.329543786279554,0.3632402158887752,0.9707480386211993,0
ENSGALG00000030007,1.7658534098331575,0.7787233892032706,1.0,1
ENSGALG00000001136,5.5681901714514686,0.2338002159039703,0.7469655460190744,1
RNF138,1.4888649384160395,0.828612056499507,1.0,1
SLC4A1,0.850789021589681,0.931512298890921,1.0,1
PACS2,1.3607675758285955,0.8509843204754783,1.0,1
ENSGALG00000031149,121.955778921775,2.0411544686797722e-25,8.685763696509669e-24,2
YIPF6,0.8756974391374175,0.9280212314194679,1.0,1
STK26,2.556178994143556,0.6346051114563875,1.0,1
CYP3A4,40.33997227721242,3.68134817034048e-08,6.18713978208484e-07,1
TRAF3,12.51056601663236,0.013932192436588327,0.0821958255845919,1
ENSGALG00000051895,7.608443746396965,0.10702136570668434,0.4324095584108459,1
LYVE1,4.455214785580755,0.34789092741335415,0.949224904265632,1
REEP1,6.3612183864345795,0.17374749406381748,0.615035377217053,4
LGALS2,10.48564434957518,0.03299531085056309,0.16706486506614224,1
CHN1,1.9154848581989614,0.7512998482414006,1.0,0
C15orf48,1.5546807098051942,0.8169133155725019,1.0,1
HSP90AA1,4.146399771415241,0.3865552162682057,1.0,0
GSTT1,2.685569307951911,0.6117421498317851,1.0,1
PDK4,0.8578844668576795,0.9305236751328675,1.0,1
ENSGALG00000031327,21.065576158332576,0.0003073283114907292,0.0029693556665770938,1
SLC38A9,7.550120964913357,0.10951937090587353,0.43807748362349413,1
TRAF6,0.2320586640290504,0.9937673190072212,1.0,1
ALDOB,1.6799083579526006,0.7943639794282116,1.0,1
VAMP1,0.9997799343926888,0.9098293568673941,1.0,1
PTTG2,0.6420159385697394,0.9582822588077786,1.0,1
TREM-B2,4.327090120280166,0.3635451404636391,0.9707480386211993,0
ENSGALG00000052796,0.2636472041638272,0.9920383997778296,1.0,1
ENSGALG00000007302,2.8819802079656336,0.577765982614179,1.0,1
BCL2L1,4.905797458739107,0.2971005516613596,0.8687150633373089,1
METTL7A,12.422301383906312,0.014472251441077652,0.08463304936302721,1
ENSGALG00000002527,1.5981285876785516,0.8091284479004588,1.0,1
ENSGALG00000003283,2.718376872992113,0.6060027472904823,1.0,1
ENSGALG00000048687,4.792230164109334,0.30928783628741685,0.886211565293458,4
RNF169,4.4900189922186415,0.34373261027371566,0.9422742630347654,1
FARP2,4.817979785846281,0.3064888616897193,0.8832532037167702,1
ENSGALG00000049285,2.3696583903065243,0.6681172872008279,1.0,1
LGI1,5.375450101269594,0.2508963683640035,0.7757340570024159,1
SQSTM1,0.06734746692910037,0.9994456083254644,1.0,1
