,ktest,p-value,p-value_adjadj,cluster
AACS,13.1737549066317,0.01045727522227136,0.02410982898468119,2
ACSL6,6.608918136478865,0.1580557294304117,0.257227951818121,0
ACSS1,3.698033875099584,0.4484119503861965,0.6646105693223985,1
ALAS1,2.088665745897537,0.7194549553003902,0.9610686568773699,1
AMDHD2,0.940673832964759,0.9186543460051695,1.0,1
ARHGEF2,13.268655023980125,0.010035036526468599,0.023797372334196962,2
BATF,32.19131271099407,1.7483607233403253e-06,9.469372191954928e-06,2
BCL11A,18.64288714858411,0.000923610656274433,0.0028392475729917756,1
betaglobin,0.04123581993095742,0.9997903499749786,0.9997903499749787,0
BPI,0.29789074194422427,0.9899499248606086,1.0,2
CD151,49.74041200869854,4.0907850067022215e-10,3.3953515555628437e-09,2
CD44,11.500152524599612,0.02148237474484857,0.04457592759556078,2
CREG1,9.757669679475224,0.04471365898211823,0.08434622035263212,1
CRIP2,1.160042709198416,0.8846324844046936,1.0,2
CTCF,24.577291794970055,6.117720416623009e-05,0.0002115711644082124,1
CTSA,13.509528698105136,0.00903673863753796,0.02272876687623184,0
CYP51A1,30.685441141874556,3.548668845997889e-06,1.472697571089124e-05,2
DCP1A,1.3158551095116662,0.8586797932657186,1.0,1
DCTD,29.006175744078483,7.794839464019674e-06,2.9407803432437856e-05,1
DHCR24,9.382178814945508,0.05222532661051273,0.09529841466385798,2
DHCR7,27.394150518082434,1.654499784201311e-05,5.9705861777699486e-05,2
DPP7,11.786306848096682,0.019013143754262208,0.04046387004112213,1
EGFR,32.09968138620317,1.8254211454370947e-06,9.469372191954928e-06,2
EMB,5.387972490774473,0.24975368991750782,0.3911237030783613,2
FAM208B,0.16366657757839997,0.9968288416374119,1.0,1
FHL3,7.623890525422961,0.10636870834533298,0.18392922484713828,2
FNIP1.F1.R1,1.512674772728329,0.8243939438348407,1.0,1
GLRX5,9.944363579154352,0.04137537135218256,0.08176561481502745,1
GPT2,13.311913979174616,0.009848137250341754,0.023797372334196962,0
GSN,0.6356831322681427,0.9590171269630765,1.0,2
HMGCS1,1.4970543897583974,0.8271631168109735,1.0,2
HRAS1,34.239736012162595,6.654122989922704e-07,3.954792139332633e-06,2
HSD17B7,6.875355588379599,0.14262355905339635,0.23675510802863795,2
HSP90AA1,126.71643947325379,1.9610054804609026e-26,8.138172743912746e-25,1
HYAL1,21.653409321008496,0.0002349014298688391,0.000749877641504371,0
LCP1,57.01852634215162,1.2261474159913964e-11,1.453860507532656e-10,2
LDHA,23.499657185480274,0.00010060478217147077,0.00033400787680928294,2
MAPK12,0.8433833450657763,0.9325391063008921,1.0,0
MFSD2B,13.786814234455688,0.008007479406168977,0.020769399709750783,0
MID2,34.992319769787116,4.6622534434629535e-07,3.2247252983952094e-06,2
MKNK2,213.37115675005344,5.0026435332959756e-45,4.15219413263566e-43,0
MTFR1,1.0375966758539414,0.9040425212771911,1.0,1
MVD,71.76307324687531,9.630651096467102e-15,1.332240068344616e-13,2
MYO1G,0.7925886941318074,0.9394388832954029,1.0,2
NCOA4,31.39743571745968,2.5398998237481147e-06,1.1095351861636502e-05,0
NSDHL,5.237376851162105,0.26379663919062624,0.40546520468188846,2
PDLIM7,0.24431869549022864,0.9931192519339701,1.0,2
PIK3CG,0.5130641526308825,0.9722167842408508,1.0,1
PLAG1,29.261757323710643,6.916295233125444e-06,2.7335833540448183e-05,0
PLS1,1.9895430972628017,0.7376823133241943,0.9566817500923145,1
PLS3,2.034105389495626,0.7294858479912566,0.9566817500923145,1
PPP1R15B,75.60375501397158,1.484929836126415e-15,2.464983527969849e-14,1
PTPRC,79.37987132721877,2.357040025071889e-16,4.89085805202417e-15,2
RBM38,12.6180476494697,0.013301026056852643,0.02983743683023701,0
REXO2,118.7284778394893,9.982017895660997e-25,2.761691617799542e-23,1
RFFL,7.356510164793239,0.11820558938192409,0.20022579425917755,0
RPL22L1,9.775076090598933,0.04439181719533434,0.08434622035263212,0
RSFR,1.871269852853809,0.7594205836410473,0.969721668341645,2
RUNX2,8.654394165809286,0.07034301014236273,0.12422276259183206,2
sca2,48.77901133071262,6.49271767053742e-10,4.8990506059509625e-09,2
SCD,3.2111529220580985,0.5231314437134243,0.7617528040037583,2
SERPINI1,12.398827988892812,0.014619275790850999,0.03193157606949034,1
SLC25A37,51.17888027524467,2.048125412711725e-10,1.888826769500813e-09,0
SLC6A9,16.510672049779004,0.0024051674017400164,0.006654296478147378,0
SLC9A3R2,2.704641235745881,0.608402700445946,0.8558885446951444,0
SMPD1,0.06394784556483846,0.9994996005775812,1.0,1
SNX22,34.23445833172933,6.670733728994803e-07,3.954792139332633e-06,0
SNX27,14.571893412637,0.00567669663112963,0.01519889743173417,1
SQLE,17.66123875913064,0.0014371153003164354,0.004260020354509434,2
SQSTM1,11.391688037869965,0.022497367408535345,0.045543451095327654,1
STARD4,31.412964935896955,2.52142673464114e-06,1.1095351861636502e-05,2
STX12,51.577780315121515,1.6903709934396414e-10,1.753759905693628e-09,0
SULF2,2.6389010181365373,0.6199476741834611,0.8575942826204545,2
SULT1E1,4.159417846237825,0.3848606970242325,0.58078977914566,1
TADA2L,1.1214548178729586,0.8908533917205568,1.0,1
TBC1D7,5.601283784359472,0.23096896671323897,0.36866200456151604,0
TNFRSF21,0.12510595945523884,0.9981232673878545,1.0,1
TPP1,16.9010469735177,0.002020412962942379,0.005782561238766119,1
TTYH2,2.4198736839824533,0.65903877625607,0.8967248922828494,0
UCK1,2.9078581656278812,0.5733616350787605,0.820500270888571,1
VDAC3,9.35488422859556,0.052815988849849,0.09529841466385798,1
WDR91,1.0453528122762348,0.9028428008586855,1.0,1
XPNPEP1,31.69068923737047,2.212759267635132e-06,1.080347171845388e-05,1
