,ktest,p-value,p-value_adjadj,cluster
AACS,2.6747391628955617,0.6136421153121023,0.7490043466309484,2
ACSL6,57.29335644028079,1.0736970596295241e-11,3.182744855330375e-11,0
ACSS1,9.214510850336461,0.055955751387903895,0.07740545608660039,1
ALAS1,13.898838504739448,0.00762501967329176,0.011719937645985482,1
AMDHD2,43.67880633687108,7.480876183650575e-09,1.940352260134368e-08,1
ARHGEF2,30.049279704002174,4.782666491531873e-06,9.231658576677801e-06,2
BATF,95.21723816435903,1.0245961626103066e-19,4.724526749814191e-19,2
BCL11A,133.00829202703724,8.85007212522316e-28,5.246828474239445e-27,1
betaglobin,448.6598570405417,8.4638663475984e-96,3.512504534253336e-94,0
BPI,104.67671152801827,9.926142909638439e-22,5.4924657433332695e-21,2
CD151,40.948057946281295,2.755216492100802e-08,6.352304690121293e-08,2
CD44,134.876384657517,3.5258491866077736e-28,2.251119096064963e-27,2
CREG1,87.79957535260635,3.861968638785319e-18,1.687070510627271e-17,1
CRIP2,36.51554747892879,2.2664998411927863e-07,5.084310454567602e-07,2
CTCF,17.458066092912546,0.001574340957790835,0.002512890374935371,1
CTSA,427.86096616328877,2.651366114717326e-91,7.3354462507179345e-90,0
CYP51A1,79.97777157792446,1.7608147896381784e-16,7.30738137699844e-16,2
DCP1A,5.710038960829747,0.22187448938310242,0.2833166556738077,1
DCTD,0.9492293544635442,0.9173942566132588,1.0,1
DHCR24,10.722736526880292,0.029863306085302636,0.0434851650014056,2
DHCR7,43.09241130147964,9.90091299070787e-09,2.490229630996222e-08,2
DPP7,7.587130160327503,0.10792802923524433,0.14219089565913143,1
EGFR,0.37816348674350553,0.984225365331884,1.0,2
EMB,53.254377966925425,7.538682525532436e-11,2.1576229297213524e-10,2
FAM208B,0.07028688939840576,0.9993967483566365,0.9993967483566365,1
FHL3,205.28821309127107,2.740157584096608e-43,2.8429134935002308e-42,2
FNIP1.F1.R1,24.29429676765013,6.97255663639983e-05,0.0001205671251710804,1
GLRX5,100.04428251739157,9.625399396164762e-21,4.699459705186325e-20,1
GPT2,100.96870012983267,6.117874713718347e-21,3.173647507741392e-20,0
GSN,4.958649834594055,0.29156665664055653,0.36666715910857867,2
HMGCS1,30.712830238646692,3.5033358727173925e-06,7.092118961842526e-06,2
HRAS1,30.420000466621556,4.01942426532753e-06,7.943147952909168e-06,2
HSD17B7,7.796924957834085,0.09930681271798734,0.1351223845179172,2
HSP90AA1,77.03792672487461,7.382990455400183e-16,2.9180390847534058e-15,1
HYAL1,60.15371327576568,2.69292472314825e-12,8.278250074863139e-12,0
LCP1,31.053202272797183,2.9858387461906015e-06,6.195615398345498e-06,2
LDHA,172.64690724759265,2.8270359809463804e-36,2.607155404650551e-35,2
MAPK12,74.27297613227363,2.8390226188171828e-15,1.0245168580948964e-14,0
MFSD2B,0.7420195280054834,0.9460477442101726,1.0,0
MID2,76.18250589419196,1.120104718936084e-15,4.22584962144068e-15,2
MKNK2,137.2372779075419,1.101613565382023e-28,7.619493827225659e-28,0
MTFR1,0.2302450185164858,0.9938606864672412,1.0,1
MVD,21.019019214230376,0.000313931423909604,0.0005211261636899427,2
MYO1G,0.3057317757352517,0.989441170809289,1.0,2
NCOA4,23.977994667835503,8.069009782492809e-05,0.00013667914529528637,0
NSDHL,6.617507565109003,0.15753540287318898,0.20430372560116697,2
PDLIM7,12.329464316702584,0.015062282921034184,0.022324455043675667,2
PIK3CG,3.034714309414634,0.5520329449325756,0.6838617079015489,1
PLAG1,48.044348799868764,9.239048810248951e-10,2.4736808104860093e-09,0
PLS1,718.3964608581205,3.6201968832869495e-154,3.004763413128168e-152,1
PLS3,10.2352355827646,0.03664621902333761,0.052442003085121064,1
PPP1R15B,13.127965978742399,0.010667163503620927,0.01609771946910067,1
PTPRC,157.5198490615395,4.974897251750956e-33,4.1291647189532935e-32,2
RBM38,2.140492023339707,0.7099373407990817,0.8417828469474825,0
REXO2,1.054634010124337,0.9014015939143749,1.0,1
RFFL,41.35805091882201,2.2659645291350063e-08,5.373573026234444e-08,0
RPL22L1,71.8700190366329,9.142434852953274e-15,3.035288371180487e-14,0
RSFR,34.480867924757845,5.937584879418866e-07,1.2968935394520155e-06,2
RUNX2,24.354973026749956,6.779807829936305e-05,0.00011972852125206666,2
sca2,72.63396379874872,6.3043697078247874e-15,2.180261190622739e-14,2
SCD,1.5314586560112255,0.8210547326063115,0.9485464171310777,2
SERPINI1,1.1902674038851544,0.8796984122959048,1.0,1
SLC25A37,155.2817464289473,1.501915571527187e-32,1.1332635676068774e-31,0
SLC6A9,244.27818048587667,1.1118930701014261e-51,1.8457424963683673e-50,0
SLC9A3R2,20.079964368617873,0.0004815700968279866,0.0007837317262102527,0
SMPD1,0.07401350325087834,0.9993319115997454,1.0,1
SNX22,216.63757787047072,9.918419909827873e-46,1.372048087526189e-44,0
SNX27,49.54281602260075,4.4983406279419903e-10,1.2445409070639506e-09,1
SQLE,0.2185394191884872,0.9944476415597546,1.0,2
SQSTM1,7.748042242007197,0.10125615017131333,0.13555258813256463,1
STARD4,2.370749940323643,0.667919551035463,0.803439459941209,2
STX12,1.52144860306204,0.822835446185995,0.9485464171310777,0
SULF2,32.742858311715516,1.3483859117862887e-06,2.8696418122631275e-06,2
SULT1E1,0.7160771622059073,0.9493315799031696,1.0,1
TADA2L,15.153255758638108,0.004393684701779742,0.0068806760424097845,1
TBC1D7,280.3151267631757,1.9056703612070596e-59,3.9542659995046486e-58,0
TNFRSF21,26.515637938071627,2.490321831567146e-05,4.4934067830450675e-05,1
TPP1,28.223769806531283,1.123582313977662e-05,2.1194848195487713e-05,1
TTYH2,41.47681257354996,2.1411756092376098e-08,5.2269875166682823e-08,0
UCK1,215.75518192776985,1.535663374281737e-45,1.8208580009340596e-44,1
VDAC3,10.088231021815798,0.03896738148391154,0.05481851971465522,1
WDR91,67.94875636773295,6.149857184825653e-14,1.963223639771266e-13,1
XPNPEP1,27.32589710594574,1.7079617787878783e-05,3.1502406142087536e-05,1
