,ktest,p-value,p-value_adj,cluster
KAT6A,11.370239792669995,0.02270350977487517,0.06878378891461928,4
ENSGALG00000047223,0.5662789895038837,0.9667361358562504,1.0,0
RASGEF1A,0.6654009149564319,0.955526143505349,1.0,1
ENSGALG00000015240,32.07449091243758,1.847192573146206e-06,1.1094249688565802e-05,4
TAPT1,2.627821559919755,0.621902650737052,1.0,0
ENSGALG00000046950,8.68432934412143,0.06949268860114727,0.18239550813949412,1
SNRPD1,67.70512977827843,6.922335033110527e-14,8.652918791388159e-13,1
GOLGA5,1.430082720781352,0.8389500048900099,1.0,1
GPCPD1,4.469700832850488,0.3461553110859622,0.6800693734498274,1
PCYT1A,3.190549976126136,0.5264586391390587,0.9293179861236692,4
PCCA,0.5312024552622958,0.970393189515319,1.0,1
C4BPA,10.789942987632719,0.02902901254904833,0.08500442913337726,1
ENSGALG00000047203,1.3873256216566923,0.8463948660654319,1.0,1
DDX10,6.2199279218335715,0.1833149254537955,0.411020012228241,4
MICAL2,1.5226285111185427,0.8226256935893002,1.0,1
DPY19L3,4.479251921577381,0.3450147594505853,0.6787298966605664,1
RAE1,1.7202937662779734,0.7870280188497394,1.0,4
CDR2,2.6221764504689458,0.6228997310734544,1.0,4
LCA5,0.5915353831046162,0.9639996378606099,1.0,1
DPH6,2.2789121615396266,0.6846110228191675,1.0,4
TECRL,32.57762883896973,1.457548428106793e-06,8.969528788349496e-06,1
HTT,0.22868138317817086,0.9939406627197531,1.0,1
TRIM13,3.206178309245708,0.5239336218848247,0.926496236754774,1
FOXI1,22.85085984304771,0.0001356157893218675,0.0006488793747457776,1
UHMK1,12.312298294077038,0.015173919618871785,0.04817117339324376,0
GSTZ1,3.3552676716498357,0.5002234760238328,0.8988741707526194,0
GIGYF2,18.17005457441312,0.0011431411510267149,0.004641102223968424,1
CNOT9,2.265956585244436,0.6869738647167332,1.0,0
ARHGAP11B,4.0427677676159055,0.40024880301250315,0.7587655033412383,1
ENSGALG00000048925,657.7290113235654,4.946471190870328e-141,6.595294921160438e-139,1
PHF21A,5.424661892776454,0.24643155790204765,0.5232092524459611,1
CDC73,1.7399812431060289,0.7834428154206475,1.0,4
FAM174C,2.1615977065823064,0.7060657120731608,1.0,1
RAB3GAP1,1.5873487336975671,0.81106414682333,1.0,4
ABHD13,65.98759762026945,1.5935839222250697e-13,1.9084837391917004e-12,1
BRMS1L,0.40411647282605745,0.9821384901760267,1.0,4
C1QBP,16.066839404344982,0.0029307740736831994,0.010915359678522158,1
ERRFI1,1.4308792788945772,0.8388106845388881,1.0,4
CDK5RAP1,7.588447399620194,0.10787178830131021,0.2621428634296724,0
PSPH,0.4544289366544848,0.9777829881662605,1.0,1
ANKDD1B,324.8721222169042,4.658680056945033e-69,2.662102889682876e-67,1
TESC,1.1272744993259,0.8899210108957412,1.0,4
LRP11,0.24066027134428053,0.9933157101116424,1.0,1
TBP,0.10032922546021811,0.9987830542599985,1.0,1
ENSGALG00000038896,7.47378404753568,0.11287087708299932,0.27263496879951526,1
KMT2C,0.0629224967571496,0.9995153537014484,1.0,1
OXCT1,1.214779949873748,0.8756592524158661,1.0,0
VRK1,6.875268034395721,0.14262839579993458,0.33169394372077815,4
PTPRC,4.372593099843144,0.3579230486132062,0.6983864363184511,0
FAM53A,13.153494343268294,0.010549643647553734,0.03447595963252854,1
IFT46,1.9933746708724311,0.7369775412988229,1.0,1
TRAPPC2,1.9247390828288982,0.7495990250678091,1.0,1
ENSGALG00000027805,0.9148266369964151,0.9224241268631459,1.0,0
AKAP11,10.122416195477985,0.03841531919918768,0.10851785084516294,1
PRDM2,1.164682241080397,0.8838785184929638,1.0,1
HSF3,6.173205612310057,0.18658119158942785,0.41740758744838447,1
ENSGALG00000006976,1.9300571617822575,0.7486214797523767,1.0,1
HIBADH,0.050980456762374914,0.9996805924866276,1.0,4
PUS10,1.9213943354746916,0.7502137898673712,1.0,1
KIF5B,13.194326864823346,0.010364295677912009,0.033925681433427196,0
ENSGALG00000050600,69.70212298518115,2.623483422329032e-14,3.384188166437138e-13,1
PRKAR1B,2.485220470332799,0.6472842379655109,1.0,2
DISP1,0.15463628087412876,0.997160647744268,1.0,1
C1QL3,21.184330630634843,0.0002911022874633891,0.001308324887475906,1
TMEM63B,11.160548159009515,0.02481771213805659,0.07419345930659668,1
RPS10,0.9670301678582779,0.9147534025555005,1.0,4
RPF1,0.3891444319686245,0.9833559948751763,1.0,0
WDR44,0.4082122551598704,0.9817990364725313,1.0,4
SH3PXD2A,122.39054415199416,1.6481183349050552e-25,3.582865945445773e-24,1
SIRT1,5.382044138211846,0.25029409665291086,0.5286042167960103,1
PIK3R1,7.739816842923126,0.1015876517445036,0.2505795720701726,1
AMDHD2,1.6194879910551037,0.8052853444724872,1.0,1
DHX37,1.6940931580891307,0.7917903281602048,1.0,0
USP34,0.31107755883895166,0.9890879050748042,1.0,1
