,ktest,p-value,p-value_adj,cluster
HBA1,17.281045974322424,0.001704390639645649,0.0158547966478665,3
HBBA,0.3667644688395658,0.9851064273333775,1.0,3
HINTW,0.09623273530362564,0.9988788788449273,1.0,4
ENSGALG00000052767,1.0082369246441663,0.908544441356067,1.0,3
ENSGALG00000053077,0.14564235218097266,0.9974738119820059,1.0,0
HBAD,10.055313609461342,0.039506168326233354,0.23307473938780743,3
KPNA2,0.21663198120563656,0.9945407035560749,1.0,1
ENSGALG00000047563,0.7420544150388593,0.946043278420011,1.0,1
THY1,0.09291887654304219,0.9989536123113831,1.0,1
ENSGALG00000050153,0.7517716119091399,0.944794288090094,1.0,1
LDHA,18.53405921228641,0.0009701189605842486,0.009749939302354257,0
CRIP1,1.4325843764490303,0.8385123838337691,1.0,0
MLANA,0.5507800049179953,0.9683729506204433,1.0,0
ID2,0.9913676939494622,0.9111020921339378,1.0,0
CD99,1.1113476186179154,0.8924676257557542,1.0,1
HIST1H101,1.407970469754054,0.8428085338705572,1.0,4
HSPA5,11.697063750907837,0.019752058387736814,0.1362210923292194,0
MT-MT-CO1,0.13987213046986977,0.9976655583936178,1.0,1
RSFR,1.4640723974197563,0.8329859623816442,1.0,0
MT-ND3,10.42891489124287,0.03379038372883839,0.2047902044172024,4
CDK1,1.1206046585649583,0.8909894199148962,1.0,4
ENSGALG00000050596,15.596767495971589,0.0036108368887298116,0.030090307406081762,4
HSP90B1,0.339459667683566,0.9871265579034512,1.0,1
IFI6,3.214734852760014,0.5225543073822783,1.0,1
ENSGALG00000053107,1.2154463054770728,0.8755489958890115,1.0,0
CCDC170,8.09069828816997,0.08831173449526175,0.43290065929049876,1
MT-ND4L,0.15950735716789854,0.9969838189948851,1.0,1
ENSGALG00000011747,3.3703541050906076,0.49786297749922714,1.0,4
SAT1,0.16844726800013943,0.9966461887987743,1.0,1
TUBB1,21.956388887551064,0.000204466465941107,0.0024487001909114614,4
DDC,2.680458926512047,0.6126383543161292,1.0,1
ENSGALG00000040263,1.7101402827813652,0.7888748146948935,1.0,0
LBH,0.6317480558554139,0.959471254260448,1.0,4
PTGS1,2.8024968502002956,0.5914017894001213,1.0,0
ASTL,1.9131154430970054,0.7517352660328795,1.0,1
SMC2,14.893830736909582,0.00492656130238534,0.03973033308375275,2
