,ktest,p-value,p-value_adj,cluster
TRMT5,0.04245266672522602,0.9997778840464029,1.0,4
GATA2,74.03551971900309,3.186967860042065e-15,2.6558065500350542e-14,0
CHID1,40.435648884676745,3.51731496893814e-08,1.916792898603891e-07,1
ENSGALG00000039161,0.766543376085443,0.9428762771123055,1.0,1
C7orf25,4.035209966279538,0.40126167101245724,0.6781776475191038,1
THAP10,66.0969853276976,1.5111928538067876e-13,1.1152714788241975e-12,0
PACRGL,0.1690509179023957,0.9966227830169175,1.0,1
HTR2A,54.026948948326904,5.194743112877301e-11,3.287812096757786e-10,1
TARDBP,0.19351612198173654,0.9956102133394261,1.0,1
TMEM33,4.009148681671753,0.40476912620001865,0.6831546433755589,4
ALDH18A1,3.806717755524354,0.43279522804103443,0.7192755179053006,1
TTYH2,57.467483131825766,9.87061370793606e-12,6.624572958346349e-11,1
EPB42,96.79717238145886,4.7258029041543946e-20,4.9745293727941e-19,1
DYX1C1,8.205466865711625,0.08433510514844789,0.17924570701051623,1
KIF2C,7.477412280482943,0.11270945028512123,0.23096198828918285,1
EEF1B2,7.585445123615953,0.10800001344757004,0.22222224989211942,2
ATXN7L1,0.2723625974261598,0.9915276967614132,1.0,1
ENSGALG00000043903,0.08697085229095766,0.999081477073168,1.0,1
SPART,19.041883314246633,0.0007711914181200352,0.002562097734618057,1
FEZ1,1.7924791081333502,0.7738580569734657,1.0,1
ARHGAP18,62.311119536372445,9.474763674056916e-13,6.767688338612083e-12,1
FRY,322.8570966861007,1.2680447955511316e-68,4.4492799843899354e-67,1
SOX4,294.758023368459,1.4637973318581914e-62,4.5743666620568484e-61,1
RWDD2B,0.6051803913371193,0.9624862917044029,1.0,0
STXBP3,0.1758601617987527,0.9963534664009953,1.0,1
RALGAPA1,6.394566190342142,0.1715559783429503,0.33141619549393236,4
CALML4,11.602029112511016,0.020569564323046085,0.051552792789589186,1
NDC80,2.002423457937806,0.7353131122759737,1.0,4
ABRACL,20.12345623349546,0.00047213911359764464,0.0016224711807479198,0
CITED4,5.084211370870702,0.2787655121647596,0.5040967670248817,1
GRPEL2,11.090025971194327,0.025570661951693326,0.06251995587211083,2
H2AFZ,24.84450131542372,5.406428097030368e-05,0.00021454079750120506,4
TXNDC17,1.904500126373878,0.7533182654039836,1.0,1
TMED3,121.65475503535853,2.366935488084656e-25,3.1350138915028556e-24,0
OTUD7B,20.411575840878683,0.0004141188711330481,0.0014329372703565679,1
TMSB15B,578.645453194337,6.4806323381416e-124,5.891483943765091e-122,0
FGD5,6.568436491792522,0.16052908302358018,0.3138398495084656,1
NT5C3B,2.75108005311826,0.6003063112324996,0.9157991018039657,1
LAMP1,7.482490483920433,0.11248387156510659,0.23073614680021864,4
MYCBP2,25.02460872470761,4.9739873751287874e-05,0.00019975852912163805,1
GSKIP,1.0380561970115356,0.9039715620135321,1.0,1
MOB1B,3.069836369575932,0.5462072357950185,0.8581417687274446,1
MAVS,0.9252504621840929,0.9209106085693117,1.0,1
ZC3H3,22.195350155815543,0.00018324952925134074,0.000674952225603465,1
BUB1,2.0000406934152317,0.7357513972074577,1.0,4
NSUN4,0.755740476656194,0.9442812368245979,1.0,1
CDCP1,8.019466491201023,0.09086770910190002,0.19031252595042333,1
PRPF39,2.4785227446080094,0.6484857136399587,0.9607195757629018,4
ENSGALG00000010335,16.764337607106086,0.002147699839703152,0.006498335369752351,4
ENSGALG00000053140,1.774180477669848,0.777202649641831,1.0,1
SNX16,20.797411495804763,0.000347340173952257,0.0012222997335611175,1
CYP2J23,0.7667467242961602,0.9428497127226608,1.0,1
ENSGALG00000049710,1026.5830865070009,6.1876329071795485e-221,1.767895116337014e-218,1
PPP3R1,24.97901930889674,5.08008569866035e-05,0.00020320342794641404,4
ACADSB,14.058111260190081,0.0071118795699646456,0.019782696995729196,1
CCT6A,0.06449374576142516,0.9994911130052159,1.0,0
HHLA2,1.3931282814048005,0.845388470799798,1.0,4
HPS4,0.21491840579078794,0.9946236866313038,1.0,1
OXR1,2.164751258906824,0.7054874773169898,1.0,1
RIDA,0.47158693524136414,0.9762073953163456,1.0,1
FAM171B,30.37033527504733,4.114174330823443e-06,1.8915744049762958e-05,1
RPS3,6.8423826700467965,0.14445573616985413,0.2866481433201786,2
ENSGALG00000050253,4.246632310726547,0.3736555677724711,0.6410971068507559,2
EXOSC3,0.8064019236316193,0.9375877422949761,1.0,4
C14H16orf45,10.071546402119946,0.039239584413228334,0.0915906833251685,0
PRKAR2B,3.6321414094655147,0.458072340551839,0.7540285441182535,0
SMAD7B,2.617195851231637,0.6237799955815653,0.9373102863735014,1
APLF,0.8574574792375447,0.930583301055989,1.0,1
STAMBPL1,2.6760789244592886,0.6134069355117309,0.9265965793228563,1
TAF5,2.298083882391048,0.6811179360644437,0.9885601394258979,0
ENSGALG00000054991,0.35970002247613664,0.9856413923663127,1.0,1
STRBP,139.3110475131973,3.964026220527489e-29,5.916457045563416e-28,4
TDRD1,4.761421018135168,0.312664480122427,0.555354316380865,1
MLLT1,0.13488607076199366,0.9978254344759144,1.0,1
AURKA,1.055568138700429,0.9012562059574749,1.0,4
LRP1B,2.6942940621692784,0.6102134470735314,0.9242544483628133,2
CBWD2,40.824564991712066,2.9222765527872638e-08,1.6056464575754198e-07,0
ZC3H12B,11.09919365711781,0.025471544962632976,0.06239489026185082,1
PLEK,0.28615287364727776,0.9906904245520124,1.0,1
XRCC5,4.993245855393711,0.28799121499626623,0.5193709918778472,4
MOGAT1,3.098451878063985,0.5414870221750203,0.8554297348736498,1
DDX42,2.7643357751520203,0.5980045374467602,0.9129840266362751,0
ATG16L1,4.893679857187522,0.29838159842603124,0.5331566969022704,1
NECAB2,14.345455888209887,0.0062703369027978925,0.01756396891540026,0
NOTCH2,28.213232994463688,1.1291236424807004e-05,4.93067092786332e-05,1
TXNRD2,24.956439155518684,5.133465181711599e-05,0.0002049287497689261,4
DYNLT1,58.26815362460023,6.703306787597294e-12,4.544614771252402e-11,0
ZMIZ1,0.7678115117834533,0.9427105433206135,1.0,1
ITPR1,21.388494416841304,0.00026516714919875786,0.0009504198896012826,1
CMTM4,4.886712527338343,0.29912025079063526,0.5336668167540326,1
NXT2,4.664779829937162,0.3234534157408583,0.5699619660631864,0
ENSGALG00000044224,47.111246478132855,1.4456853190886679e-09,8.579734831386752e-09,1
CKAP2,0.47948259753093037,0.9754673680967136,1.0,1
ENSGALG00000021174,34.595687833004696,5.623953962593713e-07,2.804964569872176e-06,4
KLHL23,0.8826455076868831,0.927037294500752,1.0,1
SLC12A2,0.27567191933077884,0.9913300206569086,1.0,1
CNOT8,2.325072844963975,0.676207958024633,0.9839301089111733,4
ATXN2,9.267944618522518,0.05474016534878837,0.12314997828748789,2
GFER,1.7436048830165187,0.7827823410578034,1.0,1
TRMT61B,0.8749107287006963,0.9281323646651662,1.0,1
LIN28B,14.488499502963197,0.005888618882418556,0.01663451661700157,1
IFNGR1,0.31910486433837004,0.9885477462273997,1.0,1
SEC22C,13.42503528555963,0.009375335079093742,0.025476454019276475,1
PRXL2C,55.99125916304461,2.013655155509102e-11,1.320429610169903e-10,1
ENPP4,10.758282870481919,0.029419195244270863,0.07063432231517615,1
RPAP1,3.7117280991434902,0.4464224366265187,0.7391099944147661,1
PARVA,18.70879045516493,0.0008965252158294661,0.002936892498164896,1
ENSGALG00000004676,3.1180739049517703,0.5382640956262299,0.8516836956111232,1
NRDE2,44.729387409465275,4.52581738827329e-09,2.6160794151868728e-08,1
DDX5,76.57764846565325,9.239403828494379e-16,7.965003300426188e-15,0
RHOT2,1.1884007123274036,0.8800046479698983,1.0,4
SUSD6,0.3614192626755067,0.9855119849954147,1.0,1
ENSGALG00000041179,66.7820225501049,1.0837098097120028e-13,8.087386639641813e-13,1
SHLD3,6.685022192938103,0.15349944585584444,0.30157062054193406,2
SUCNR1,62.926643332228494,7.031467489149387e-13,5.076871833320857e-12,0
CHD1L,4.530148047628711,0.33898765458292296,0.5916014914187138,2
ENSGALG00000009044,15.476944035450256,0.0038076744008436335,0.011068820932684981,1
CENPE,15.8263924081354,0.0032611893921841587,0.009591733506423996,4
HIST1H111R,259.56848448756017,5.649046842677812e-55,1.4672848942020292e-53,1
ENSGALG00000043026,2.1450018289272683,0.7091098235655682,1.0,1
CNST,3.8381906871138027,0.4283470321627928,0.7139117202713213,1
GCNT1,8.236596041138203,0.08328589643581934,0.177392750662022,1
KLHL28,0.216681092534401,0.994538316585195,1.0,1
GP9,186.79196345554305,2.591755394934227e-39,4.936676942731861e-38,1
LIG4,165.36247279780972,1.0342448412382926e-34,1.783180760755677e-33,1
GRHL3,93.36792490307084,2.5338742099502984e-19,2.5855859285207127e-18,1
