,ktest,p-value,p-value_adj,cluster
HBA1,0.5327499171137244,0.9702354520274241,1.0,3
HBBA,31.058239143604432,2.978782422981867e-06,4.5827421892028725e-05,3
HINTW,2.1109721314886736,0.7153568875288143,1.0,4
ENSGALG00000052767,19.18808380493862,0.0007218088938598605,0.007558208312668696,3
ENSGALG00000053077,1.5130608265568746,0.8243254149314818,1.0,0
HBAD,0.20681197607615215,0.9950082610455435,1.0,3
KPNA2,0.26516446688938217,0.9919505265279571,1.0,1
ENSGALG00000047563,2.102056858875166,0.7169945143944132,1.0,1
THY1,0.7203545213064523,0.9487952750405806,1.0,1
ENSGALG00000050153,0.3279409378444742,0.9879398236988913,1.0,1
LDHA,0.08833512343328254,0.9990528634109616,1.0,0
CRIP1,0.059223889830377616,0.9995701262499807,1.0,0
MLANA,0.006128859158077315,0.9999953142170722,1.0,0
ID2,9.875495407575828,0.04257799038861126,0.24800112277172695,0
CD99,0.04361917003665048,0.9997656008509381,1.0,1
HIST1H101,1.1332191268677467,0.8889664413687993,1.0,4
HSPA5,1.8610107694366187,0.7613032141824956,1.0,0
MT-MT-CO1,4.329288037852123,0.36327198913361763,1.0,1
RSFR,0.2601819056254236,0.9922374512982084,1.0,0
MT-ND3,3.968160078279015,0.4103320642054846,1.0,4
CDK1,0.6864174070093437,0.9529933083075077,1.0,4
ENSGALG00000050596,8.421984866170513,0.07728757225102144,0.39232270178183476,4
HSP90B1,1.8634672158909238,0.7608524985349132,1.0,1
IFI6,0.46760406183658537,0.9765771285848975,1.0,1
ENSGALG00000053107,0.12681873774658692,0.9980726232568587,1.0,0
CCDC170,9.982272712356739,0.04072735687804712,0.2395726875179242,1
MT-ND4L,0.10674560774653724,0.9986253520821812,1.0,1
ENSGALG00000011747,0.33313396722822,0.9875760721811535,1.0,4
SAT1,7.427835626217711,0.11493386035837552,0.5135211534292048,1
TUBB1,0.13558971125832597,0.9978032002186967,1.0,4
DDC,3.2974382482592084,0.5093382471790371,1.0,1
ENSGALG00000040263,3.911247330013275,0.4181504502997031,1.0,0
LBH,6.385441168160467,0.17215315595523017,0.6886126238209207,4
PTGS1,1.3713467128492067,0.8491594896789164,1.0,0
ASTL,1.1491732406038238,0.8863938991202907,1.0,1
SMC2,6.521001134327307,0.16347194235596813,0.6685969012514035,2
MARCKSL1,1.3512390935343697,0.852624046591697,1.0,1
FTL,1.0688337470278009,0.8991850268539898,1.0,1
PCNA,1.9314565972813678,0.7483642258643979,1.0,4
RPLP1,0.151503002863224,0.9972717155620365,1.0,4
RLN3,0.15137317974165368,0.9972762721820959,1.0,1
