,ktest,p-value,p-value_adj,cluster
HBA1,12.67705759805502,0.012966444996068196,0.044028675708211194,3
HBBA,40.35155075064771,3.6610984523751134e-08,3.1974658972708414e-07,3
HINTW,13.63291183431037,0.008563685153772529,0.030639302875751444,4
ENSGALG00000052767,36.94852155392734,1.8458290155479635e-07,1.4591533719746746e-06,3
ENSGALG00000053077,42.030458743179025,1.6440880118570024e-08,1.4878624541692328e-07,0
HBAD,0.7059814599217438,0.9505892416799562,1.0,3
KPNA2,8.217968589232582,0.08391224921802774,0.22078689618253644,1
ENSGALG00000047563,89.70375428530518,1.5220691165287182e-18,2.6939276398738375e-17,1
THY1,11.443110480774944,0.022010499751438817,0.07009713296636566,1
ENSGALG00000050153,41.909474505298135,1.7418128308922444e-08,1.5621639738943897e-07,1
LDHA,2.5589846031239185,0.6341057387142323,1.0,0
CRIP1,18.815256739888675,0.0008544185869853825,0.003955641606413808,0
MLANA,10.655800091854392,0.03071722793976114,0.09402441106922303,0
ID2,8.792270152175847,0.06650673186290744,0.18196096268921325,0
CD99,0.7018675741722112,0.9510984115556632,1.0,1
HIST1H101,5.03975721300087,0.28324243018804307,0.5676201005772405,4
HSPA5,21.30961024226738,0.00027490456155906994,0.0013990054023362338,0
MT-MT-CO1,35.61490960725381,3.4725672804458606e-07,2.6508147178976034e-06,1
RSFR,33.54818328531168,9.223419797598263e-07,6.683637534491495e-06,0
MT-ND3,10.857461291414761,0.028213532558292495,0.08722813648011972,4
CDK1,0.057872759207926006,0.9995893322822409,1.0,4
ENSGALG00000050596,0.051988466246436014,0.9996679480134268,1.0,4
HSP90B1,52.20817993132802,1.247879364253778e-10,1.3712960046744814e-09,1
IFI6,1.1265011793929784,0.890045027350904,1.0,1
ENSGALG00000053107,16.41487083469019,0.002510121646759613,0.010480674934278133,0
CCDC170,0.9359788205955792,0.9193432764109465,1.0,1
MT-ND4L,17.775891257665496,0.0013649612666413848,0.006066494518406155,1
ENSGALG00000011747,5.851662834189133,0.21050344456154083,0.45961450777629,4
SAT1,39.94493180673781,4.443424089431703e-08,3.7656136351116125e-07,1
TUBB1,5.211952708738155,0.266232900655392,0.542885499417331,4
DDC,69.30676597974181,3.1792723470638296e-14,4.607641082701202e-13,1
ENSGALG00000040263,55.695438236920296,2.322740722362864e-11,2.7651675266224574e-10,0
LBH,15.64939678315081,0.0035275772823931714,0.014252837504618875,4
PTGS1,5.845777887220679,0.21096551690965043,0.46012108377241095,0
ASTL,133.60464529569913,6.597273170573418e-28,1.6701957393856754e-26,1
SMC2,2.517990479150388,0.6414172425495213,1.0,2
MARCKSL1,44.408718387868454,5.276414527699862e-09,4.885569007129501e-08,1
FTL,16.44139979471302,0.0024806145380705967,0.010379140326655215,1
PCNA,1.0789846196410022,0.8975920360957217,1.0,4
RPLP1,4.604374938955312,0.3303500757950934,0.6371264721216845,4
RLN3,61.84230840518728,1.1890276169660284e-12,1.5645100223237217e-11,1
PDLIM1,3.1015046158958457,0.5409848687511115,0.897155669570666,4
LAMP3,17.064494973979382,0.0018779641942259383,0.008094673250973872,0
ATP1B1,0.39120922837011185,0.9831902833483229,1.0,4
LY6E,14.902896170989806,0.004906912823653693,0.018909105293463173,0
CSTA,82.74958936388568,4.5526324194066634e-17,7.525012263482088e-16,0
ENSGALG00000043758,0.7846143165345716,0.9404987484013052,1.0,0
HINT2,10.653577493445994,0.03074598241963593,0.09402441106922303,0
CD200R1,7.820642734147275,0.09837368142752212,0.25127377120695304,1
RPLP0,1.0355741352142933,0.9043546621509304,1.0,4
ENSGALG00000037441,2.88777439443003,0.5767783018005919,0.939378341694775,1
C11H16orf70,0.3577327917800323,0.9857888448480093,1.0,1
CDC20,1.8864178046739906,0.756639604823424,1.0,4
CCNB1,4.165010652202164,0.3841344558666026,0.712679881014105,4
HIST1H103,28.44528406565381,1.0131531100962398e-05,6.731914352798935e-05,4
ENSGALG00000040725,25.698065773737707,3.6404524764263984e-05,0.0002247192886682962,1
TEC,138.4513364572243,6.05578102240521e-29,1.6148749393080558e-27,1
MT-ATP8,27.526464183354975,1.5555561662902886e-05,0.00010101014066820055,0
RRM2,0.3192158030064122,0.9885402000487958,1.0,1
ALAS1,0.07807826981798432,0.9992575182123037,1.0,0
DPYSL3,23.070193525664376,0.00012260235671618895,0.0006754950783261099,1
CHAC1,3.6583529374166988,0.45421219518491174,0.796165109877146,1
TARP,54.192609292510724,4.795938611377254e-11,5.576672803927039e-10,1
RPLP2,0.6412446926535333,0.9583720201823301,1.0,4
PPP1R14B,61.57633265760025,1.3524920850499118e-12,1.767963509869166e-11,1
CLCN5,5.494247661254011,0.24023557767501685,0.5041670045645684,1
ARAP2,46.88678980942315,1.609994824850878e-09,1.5784262988734097e-08,1
RPS26,2.8632634905241874,0.5809624157290829,0.9454229710806882,1
LPAR3,10.93184128825968,0.02734079861286886,0.08527098063324999,1
RFESD,17.686207358116945,0.0014210878584262846,0.0062879993735676315,1
ALG10,0.15952412091192145,0.9969832017234684,1.0,1
AvBD14,2712.4638982236393,0.0,0.0,1
MAMLD1,3.92751487751904,0.4159045174399675,0.7527683573574072,1
ENSGALG00000050194,3.1929077199181486,0.5260772331677894,0.8812013955909371,1
DIPK1A,39.11423187227422,6.59803556514081e-08,5.498362970950675e-07,1
TOP2A,0.026024009929840605,0.9999160746565123,1.0,4
ENSGALG00000032052,17.8937896923922,0.001294495261209383,0.005766125885119746,1
ENSGALG00000011164,5.450151044419647,0.24414611616822868,0.5096690139669058,1
HMGB2,0.5738530913931765,0.9659244153963682,1.0,2
CD83,143.5955266158792,4.794525340000476e-30,1.3505705183099932e-28,1
CDKN2A,8.027837621040076,0.09056377290376749,0.23553647049094276,1
ENSGALG00000040833,7.854931536821643,0.09703913236012353,0.2484996987455148,4
SLC20A1,6.649988203386931,0.15558184909837172,0.35973462828037434,1
TUBA3E,0.13481383024656793,0.9978277110895917,1.0,4
PABPC1L,38.42280247827775,9.16623265151448e-08,7.422050729971238e-07,1
LCP1,11.9683166996855,0.01758843213071494,0.05710529912569785,0
ENSGALG00000051178,13.190484781160388,0.010381599273218576,0.036109910515542874,1
TANK,0.8970175190320501,0.9249883149780369,1.0,1
HSPA8,44.07794382655293,6.181006588982386e-09,5.644754875783001e-08,0
ENSGALG00000030007,60.79624780695237,1.973177831039392e-12,2.5460359110185707e-11,1
ENSGALG00000001136,11.976456071724566,0.017527205387170387,0.05699904190949719,1
RNF138,41.954033331673756,1.7051639907871506e-08,1.5361837754839196e-07,1
SLC4A1,0.3533045771176553,0.986118325785983,1.0,1
PACS2,0.052238396173225926,0.9996647755864811,1.0,1
ENSGALG00000031149,15.41724190271812,0.003909649689877343,0.015453160829554715,2
YIPF6,25.59621945367315,3.816551799195227e-05,0.00023414428215921636,1
STK26,0.6176992597995844,0.9610767354684504,1.0,1
CYP3A4,11.757486143775456,0.019248788993179312,0.061893212196718055,1
TRAF3,0.3968096556717866,0.982737272668953,1.0,1
ENSGALG00000051895,101.98740203105461,3.712511175184305e-21,7.734398281633969e-20,1
LYVE1,2.2763251005627185,0.6850827045505015,1.0,1
REEP1,2.196437804116334,0.6996814918843726,1.0,4
LGALS2,5.194891856029275,0.26787848947135556,0.5455773716320887,1
CHN1,3.8847286800321537,0.421830845827714,0.7586885716325792,0
C15orf48,4.608851622023033,0.3298348889549045,0.6367611901738467,1
HSP90AA1,60.548644259616935,2.2244203564681183e-12,2.834640665299467e-11,0
GSTT1,53.01594202345339,8.456546108518965e-11,9.501737200583107e-10,1
PDK4,13.873537089244207,0.007709805362726034,0.027883563698828336,1
ENSGALG00000031327,1.3242654129836668,0.8572453038781208,1.0,1
SLC38A9,3.9022191638384944,0.4194007581467081,0.7556770417057803,1
TRAF6,4.447358459737492,0.3488351197595726,0.6644478471610906,1
ALDOB,1.0515101413522217,0.9018873509144746,1.0,1
VAMP1,5.779499844793943,0.21623163662114828,0.46727754801099347,1
PTTG2,0.32310098047650254,0.9882745372743726,1.0,1
TREM-B2,9.529210634686908,0.04915048189634253,0.14090774842596035,0
ENSGALG00000052796,28.8803674386396,8.267236405019476e-06,5.585970543932078e-05,1
ENSGALG00000007302,18.09022101993746,0.001184985773120995,0.00531383754762778,1
BCL2L1,0.37258843711052114,0.9846590179700009,1.0,1
METTL7A,14.037893534498103,0.007175092110101586,0.02609124403673304,1
ENSGALG00000002527,1.6477376812959665,0.8001877757886238,1.0,1
ENSGALG00000003283,28.52788149756791,9.748008835139852e-06,6.498672556759901e-05,1
ENSGALG00000048687,0.6360324575270249,0.9589767200913318,1.0,4
RNF169,114.10878491900556,9.670017744473958e-24,2.1977313055622633e-22,1
FARP2,17.089080214097038,0.0018574126044238898,0.00802338058066475,1
ENSGALG00000049285,9.247170690460127,0.05520973829060715,0.15421714606314846,1
LGI1,25.347186534655158,4.2836209647639284e-05,0.0002580494557086704,1
SQSTM1,3.8282153798132033,0.42975326952671733,0.767416552726281,1
ERMP1,7.466876628403364,0.11317879439222751,0.2829469859805688,1
SIN3A,0.04599247339148779,0.9997396054812309,1.0,1
FTH1,15.234240596429402,0.004239248180050292,0.016591969393543217,4
UBE2D1,0.8655701157155308,0.9294475377511546,1.0,1
PPP1R10,2.8475521087998166,0.583652576017323,0.946719506921854,1
ENSGALG00000036805,25.633790221752392,3.750624955249713e-05,0.00023080768955382848,1
ZNF831,1.5259851584079358,0.822028769633965,1.0,1
TNRC6A,28.595528712114564,9.444692080604087e-06,6.338719517183951e-05,1
TRIM62,8.329330587112675,0.08023262944780246,0.21281864575013917,1
ADAM9,4.321966056000739,0.3641825726167711,0.6846330361629573,1
ENO2,0.07100500261086443,0.9993845055928843,1.0,4
MT-ND6,87.00508756608097,5.694690457572845e-18,9.652017724699739e-17,1
TMEM243,3.693448784292291,0.44907947836858186,0.7898971685714493,1
ENSGALG00000047058,1.5511463214432921,0.8175445498478251,1.0,1
LUZP2,8.781393721905863,0.06680200415009954,0.18227013410668363,1
TMBIM1,0.23022499232159713,0.9938617138089164,1.0,1
ENSGALG00000045540,237.877329513541,2.657990478332544e-50,1.1813291014811307e-48,1
COPB2,10.031264971218606,0.039904308026692085,0.11736561184321201,1
BTG1,65.61565019093077,1.908797382063759e-13,2.6328239752603575e-12,0
ENSGALG00000001805,5.498789914399604,0.23983586750754285,0.5038568645116446,1
EFHC1,0.30683161670767506,0.9893689133552321,1.0,1
SMOC1,4.686237710015465,0.321031928584146,0.6233629681245553,1
ENSGALG00000052861,91.90512517770283,5.18459621700172e-19,9.513020581654532e-18,1
BLVRA,7.048886616528671,0.13332723428131002,0.3201134076381993,1
TSPAN9,1.6828490132181408,0.7938307146929753,1.0,1
LAMP5,21.004506397787857,0.00031601835760501976,0.0015761514095013452,0
CYP51A1,4.853387727053927,0.3026743041557321,0.5952297033544387,0
