,ktest,p-value,p-value_adj,cluster
ERRFI1,0.6484094302893417,0.9575353391377306,1.0,4
CDK5RAP1,0.8858736045007574,0.926578675934033,1.0,0
PSPH,3.0911897247543387,0.5426826859202902,1.0,1
ANKDD1B,0.3902456847008068,0.983267700985688,1.0,1
TESC,13.950548727019394,0.007454567758829462,0.05763866171162348,4
LRP11,0.18430179929677606,0.9960061513311188,1.0,1
TBP,3.9447389282160055,0.4135362798135118,1.0,1
ENSGALG00000038896,12.640531116550997,0.013172565907101577,0.09375491748826745,1
KMT2C,1.403440061267848,0.8435968972655346,1.0,1
OXCT1,2.158306687757104,0.706669225328153,1.0,0
VRK1,1.347372407809626,0.853288387661028,1.0,4
PTPRC,10.859814243479567,0.028185516617028797,0.18184204269050835,0
FAM53A,6.20247076082971,0.184529277990887,0.7279261459206589,1
IFT46,1.1903287295034062,0.8796883483630404,1.0,1
TRAPPC2,1.3970477556451748,0.8447079682008514,1.0,1
ENSGALG00000027805,2.0034763215345355,0.7351194490528529,1.0,0
AKAP11,4.086902366536814,0.3943726304336373,1.0,1
PRDM2,1.416549181744806,0.8413136489306101,1.0,1
HSF3,4.013418187923017,0.4041929412873051,1.0,1
ENSGALG00000006976,3.273581137471054,0.5131289582524738,1.0,1
HIBADH,2.752820952913671,0.6000037760158148,1.0,4
PUS10,0.7971467433152504,0.9388301736766617,1.0,1
KIF5B,0.7962424273626619,0.9389511086798311,1.0,0
ENSGALG00000050600,13.730332007415782,0.008207373177098716,0.06289174848351507,1
PRKAR1B,64.63296025614217,3.0746105848219695e-13,1.0788107315164806e-11,2
DISP1,32.254296889783234,1.6972799597621273e-06,3.085963563203868e-05,1
C1QL3,0.6510590741327485,0.9572243285970488,1.0,1
TMEM63B,2.3698446370600292,0.6680835470883371,1.0,1
RPS10,2.3706658969496113,0.6679347750382492,1.0,4
RPF1,1.8203988056729439,0.768748226515062,1.0,0
WDR44,0.8170952438488667,0.9361416263210458,1.0,4
SH3PXD2A,0.25352122588341885,0.9926136031852917,1.0,1
SIRT1,0.03929450726318233,0.9998095022257381,1.0,1
PIK3R1,0.6895014179403354,0.9526172717754184,1.0,1
AMDHD2,5.060665217241624,0.28112931530008,0.97631558425796,1
DHX37,55.619293489219814,2.4096935115658556e-11,7.530292223643299e-10,0
USP34,1.847805620641768,0.7637254036415994,1.0,1
HSD17B4,6.077443841809814,0.19343888906198198,0.7497631358991549,0
THOC2,0.09751182400783724,0.9988493664573453,1.0,1
CEP85L,2.092636806711498,0.7187252476105057,1.0,0
ENSGALG00000009387,0.23214016369248633,0.9937631081538407,1.0,1
BCLAF3,1.5971985034639324,0.8092955644158213,1.0,4
RNF114,10.45286419076592,0.03345250444173772,0.20713625041323663,4
DCTD,4.116719962553473,0.39043992497977276,1.0,1
HSP90AB1,0.09326916300050125,0.9989458306916087,1.0,1
SFPQ,0.028782965182541868,0.9998974308357377,1.0,1
INO80C,1.1622971305749417,0.8842662779635463,1.0,1
TMEM171,30.968064561428882,3.107661297816458e-06,5.2229601643974086e-05,1
OSBPL9,1.004210478125151,0.9091568729230288,1.0,1
ENSGALG00000051796,0.4799579748745911,0.9754225145666846,1.0,1
EIF5,5.712591894017481,0.221664827623838,0.8317629554365403,0
SKAP2,1.272237569662924,0.8660679213099083,1.0,1
PDS5B,38.42076282697788,9.17512239782392e-08,2.1092235397296367e-06,2
PTBP2,0.9749024942531389,0.9135774122623501,1.0,1
ENSGALG00000013809,5.349247462618007,0.2533019585358694,0.9127998505797096,1
ABAT,13.346900302435863,0.009699472146588716,0.07184794182658308,2
ENSGALG00000011745,0.46078953382041526,0.9772041426401713,1.0,1
REXO5,0.3443496912288092,0.9867742590835107,1.0,1
RPS20,41.07240588324082,2.5966266988259397e-08,6.333235850794975e-07,2
VDAC1,1.1973728938206873,0.8785309640058834,1.0,4
LAMA1,2.238973635230377,0.691900703718337,1.0,0
ENSGALG00000046649,4.752578293349272,0.31363922271404443,1.0,4
ABCC5,0.4310648640386535,0.9798554329850336,1.0,1
ENSGALG00000003325,4.43700681729978,0.3500823252842219,1.0,4
SMURF2,1.164943005776745,0.8838361045133661,1.0,1
AK2,129.4970925485586,4.9882682102682824e-27,2.7712601168157124e-25,2
ENSGALG00000051568,9.198356225780694,0.0563282951758087,0.3143680564975886,1
CHRNA6,1.6658115366404813,0.7969182247928206,1.0,0
MFSD11,1.069496264747873,0.8990812701884014,1.0,1
KLHDC3,3.459852035127532,0.48400913013526226,1.0,1
ZFAND6,8.078948699700177,0.08872863882695703,0.44587255691938205,1
ACAA2,2.2505631235590218,0.6897836588039066,1.0,0
DTYMK,3.4287188678246343,0.4887992310288386,1.0,1
CACNA1S,0.028720431131296707,0.9998978739102009,1.0,1
MNT,68.01830953324844,5.945568352506237e-14,2.1234172687522276e-12,2
DBNDD1,0.36994568743945927,0.9848627515096636,1.0,1
POLQ,17.998862971967455,0.0012347296422718093,0.011815594662888127,1
MAPRE2,2.35810373707592,0.6702114569301112,1.0,4
CPXM1,0.05518729773326765,0.9996262266883321,1.0,1
MIDN,4.346885972234597,0.3610907843286223,1.0,1
RAB39B,0.1113518136653267,0.9985064414079821,1.0,4
CENPO,3.3868551602379484,0.49528941809791693,1.0,0
ESR1,2.4634420712643963,0.6511938014740482,1.0,1
C7H2ORF69,3.617611141201859,0.46022202566099546,1.0,1
ENSGALG00000043929,0.011272512117319326,0.9999841758658979,1.0,1
OTUB1,12.21648099607322,0.015812006009671913,0.11018819518935132,0
HOXC6,0.23796233836213976,0.9934589183735486,1.0,1
DHDDS,5.646248710095339,0.2271700614213998,0.842931582268645,1
ACSL3,0.8638962782178019,0.929682371742391,1.0,1
GRAMD2A,2.6053169803464664,0.6258815334735228,1.0,0
PIGU,7.211859409887397,0.12510709289820265,0.5597632791865891,1
MIIP,0.0195306052300224,0.9999526287087687,1.0,1
ENSGALG00000007291,2.121752847542501,0.7133771166656837,1.0,4
UBE2L3,4.679969377712689,0.32173776293893486,1.0,1
ENSGALG00000019312,1.4566534537765699,0.8342910169358861,1.0,1
TTL,0.41429270673443747,0.9812900800811607,1.0,1
ZFYVE26,1.2172815543241124,0.8752452094413906,1.0,1
RPL10A,0.04051157698795984,0.9997976008826777,1.0,1
SRRM1,10.001683608949413,0.04039933137231965,0.2419121639061057,0
DCTN5,1.0949280115846842,0.8950760967041849,1.0,4
NF2,0.6626946465916601,0.9558484832735318,1.0,1
DCLRE1C,2.529099388713817,0.6394327871821603,1.0,1
GRAMD2B,4.281880404262788,0.3691995409935452,1.0,1
CTPS2,0.26166464960692926,0.992152560602746,1.0,1
ENSGALG00000045199,3.73355125697993,0.44326490645790917,1.0,0
TNFRSF10B,1.5019544803853933,0.826295199314147,1.0,1
SLC35B1,0.4340664916419184,0.9795939652548784,1.0,4
POGZ,1.888326138805171,0.756289164321983,1.0,1
SLC9A3R1,0.8297597965835553,0.9344144072294026,1.0,1
TRIO,3.1905205184604997,0.5264634054893627,1.0,4
NSL1,6.320311726187048,0.1764701881691011,0.6988918343330737,4
ENSGALG00000034512,3.55311020776042,0.46984890445283856,1.0,1
EFCAB1,3.0798857519437055,0.5445468571339929,1.0,1
TEX30,45.98225423635028,2.4838822941800207e-09,6.713195389675731e-08,4
C1GALT1,10.735111502553366,0.029707965578268127,0.1892227106896059,0
TTC21B,2.431491006394359,0.6569439435134552,1.0,1
ADAT1,3.4269250489712375,0.489076176817978,1.0,1
STOX2,3.7664884793476396,0.4385295382492719,1.0,1
ENSGALG00000051397,3.2513723573099735,0.516673611931926,1.0,0
FLAD1,0.3281149817272744,0.9879277099304684,1.0,1
ENSGALG00000015017,0.03392918691631033,0.9998577184331251,1.0,1
PRTFDC1,0.0505503426657457,0.9996859144007663,1.0,1
DVL1,0.27770739289388946,0.9912074135200836,1.0,1
TEDC1,0.4285250550543888,0.9800755600027048,1.0,1
LUC7L3,9.985301351123832,0.04067600799386425,0.2421190952015729,2
ERI2,9.988183357345116,0.04062720288985861,0.2421190952015729,2
B4GALT1,1.04086042334261,0.9035382062850909,1.0,0
TAF12,1.2407511493811794,0.871344710736899,1.0,1
CCNE1,0.641827099711711,0.9583042435724525,1.0,1
CENPJ,9.72766423851378,0.045273709277106305,0.2647585337842474,1
ZBTB6,0.4790023612717204,0.9755126457670052,1.0,1
FIG4,0.27568504135453636,0.991329232739179,1.0,1
GADD45G,1.2211564065813783,0.8746032217831214,1.0,4
TRAF3IP3,0.09039710375677218,0.99900880884263,1.0,1
IFT122,0.20117304036581107,0.9952679492853177,1.0,1
TBC1D1,8.49470516180958,0.07504788505404592,0.3898591431379009,4
SNX25,1.9641515475128684,0.7423524804134021,1.0,1
PRR14L,5.886568174244951,0.20778109396223918,0.7855617919177285,1
DEK,10.525067963311386,0.0324534316646168,0.20220206644621055,2
