,ktest,p-value,p-value_adjadj,cluster
AACS,9.8459052826056,0.04310494480633584,0.12777537210449552,2
ACSL6,2.406061845525196,0.6615320683435444,1.0,0
ACSS1,28.167433880686502,1.1535271533158712e-05,9.574275372521731e-05,1
ALAS1,24.34150073358585,6.822142607021991e-05,0.0005147616694389321,1
AMDHD2,2.4774669870096,0.6486751724805899,1.0,1
ARHGEF2,2.0897348092962043,0.7192585019392148,1.0,2
BATF,0.7012987032901423,0.9511686679741529,1.0,2
BCL11A,70.63741585999686,1.6649853929716537e-14,6.909689380832363e-13,1
betaglobin,68.68660004950941,4.2973567268640075e-14,1.1889353610990421e-12,0
BPI,14.124023624027654,0.006909564400624104,0.024934515010947855,2
CD151,14.13914088677475,0.006863963795583519,0.024934515010947855,2
CD44,0.4501726225041101,0.9781668584649948,1.0,2
CREG1,4.528525844042278,0.33917844079084064,0.6398138769463585,1
CRIP2,13.929463084863151,0.007523616761667541,0.026019174634100247,2
CTCF,22.717200783218747,0.0001442088181280204,0.000920717838817361,1
CTSA,13.265420748328875,0.010049148585021433,0.033363173302271155,0
CYP51A1,0.3270547502463306,0.9880014205950584,1.0,2
DCP1A,0.14117584711494285,0.9976228651570145,1.0,1
DCTD,54.73543320103499,3.6912722491187996e-11,6.127511933537208e-10,1
DHCR24,1.7182759318410628,0.7873951619648285,1.0,2
DHCR7,6.592360471573238,0.15906315965004625,0.4000679469986012,2
DPP7,0.7448715614979527,0.9456822281338094,1.0,1
EGFR,40.09663630486324,4.133742829589246e-08,5.718344247598456e-07,2
EMB,0.5705688704719996,0.966277333739577,1.0,2
FAM208B,0.24335717528870474,0.9931711380180366,1.0,1
FHL3,4.21283019729944,0.3779680016260615,0.6971409807769579,2
FNIP1.F1.R1,0.37684796787091934,0.9843281637032557,1.0,1
GLRX5,5.595972482394712,0.23142133901756531,0.5083533764422079,1
GPT2,0.4165272751600584,0.98110153931146,1.0,0
GSN,17.736144126541415,0.0013895607876116983,0.007208346585735685,2
HMGCS1,2.7110844451605045,0.6072763750312389,1.0,2
HRAS1,0.8827935010551198,0.927016289394595,1.0,2
HSD17B7,0.9427005562982244,0.9183563871448377,1.0,2
HSP90AA1,35.77046755042751,3.2259975192482095e-07,3.825111344251448e-06,1
HYAL1,4.655371974499219,0.32451976891592804,0.6415525680722537,0
LCP1,3.895954876256216,0.420269915943852,0.7583131092030372,2
LDHA,0.812463102891701,0.9367694450477255,1.0,2
MAPK12,14.973156291575018,0.004757217825964203,0.01974245397775144,0
MFSD2B,15.176072610416393,0.004349622593475416,0.019000982908339976,0
MID2,6.324875623823509,0.17616452899260077,0.4200613465999069,2
MKNK2,19.36840809950084,0.0006651901249060689,0.0036807186911469144,0
MTFR1,0.9931578975407358,0.9108316950719693,1.0,1
MVD,4.544143538075379,0.3373452419389872,0.6398138769463585,2
MYO1G,0.42756747518010196,0.9801582887847159,1.0,2
NCOA4,0.19337793855743535,0.9956162800256837,1.0,0
NSDHL,10.218249718557972,0.03690746934149833,0.11345629464238376,2
PDLIM7,0.6750585422492639,0.9543687167842213,1.0,2
PIK3CG,1.4836348644035386,0.8295363383123837,1.0,1
PLAG1,5.175989704275945,0.26971178780621136,0.5740020099465524,0
PLS1,63.405184257427436,5.575981886412412e-13,1.1570162414305754e-11,1
PLS3,35.14577571185626,4.33581965244327e-07,4.4984128894098924e-06,1
PPP1R15B,16.9352543246161,0.001989744878648172,0.00971463676045872,1
PTPRC,4.654303499720748,0.32464105854258624,0.6415525680722537,2
RBM38,12.994728376263199,0.011301580780797536,0.03607812326177675,0
REXO2,114.28067703660747,8.88676802014833e-24,7.376017456723114e-22,1
RFFL,0.25333479708242895,0.9926240090083114,1.0,0
RPL22L1,0.6688676270707068,0.9551119489363867,1.0,0
RSFR,1.1617880512584113,0.8843489984656171,1.0,2
RUNX2,0.2670473901756709,0.9918408679039403,1.0,2
sca2,5.580540421241719,0.23274010005787832,0.5083533764422079,2
SCD,3.3715061071095027,0.4976830262675277,0.8788870463873362,2
SERPINI1,0.2835984955868178,0.9908481930213621,1.0,1
SLC25A37,1.1888775291887468,0.8799264434372365,1.0,0
SLC6A9,5.871833729332365,0.2089264490280604,0.48169153525913927,0
SLC9A3R2,8.436391805632393,0.07683890641591148,0.2199182493972639,0
SMPD1,0.08244192178123216,0.9991734063358317,1.0,1
SNX22,1.4707393165557519,0.8318116815705218,1.0,0
SNX27,2.8093574768096237,0.5902185278484171,0.9997579145187473,1
SQLE,7.534162849783428,0.11021225650831416,0.29508442871580887,2
SQSTM1,7.7650079345649505,0.10057558234940463,0.2782591111666861,1
STARD4,15.983869837655241,0.0030408844652067704,0.01402185614512011,2
STX12,31.575378043787286,2.336063756317172e-06,2.1543699086036144e-05,0
SULF2,1.5718629470771046,0.8138401074243484,1.0,2
SULT1E1,4.686623247652923,0.32098855717617414,0.6569546541468787,1
TADA2L,0.0804315552451879,0.9992127025746464,0.9992127025746464,1
TBC1D7,21.686750418196077,0.000231343589537821,0.0013715369951170816,0
TNFRSF21,6.310420078730348,0.17713430278309328,0.4200613465999069,1
TPP1,0.748465295372928,0.9452204041676817,1.0,1
TTYH2,2.9895862795750237,0.5595696214079597,0.9675891370179305,0
UCK1,23.06377860716618,0.00012296475804169458,0.0008505062431217208,1
VDAC3,14.548747875737954,0.005734752550857159,0.022665926748625914,1
WDR91,1.4367696363531495,0.8377797612803066,1.0,1
XPNPEP1,7.147550144954797,0.12829330984777804,0.33276077241767427,1
