,ktest,p-value,p-value_adjadj,cluster
AACS,175.7955463256791,5.961739920001524e-37,5.4980490373347395e-36,2
ACSL6,27.290965799903248,1.735984206333373e-05,3.6021672281417486e-05,0
ACSS1,1.3087896724866153,0.8598824783598162,0.9512395121715419,1
ALAS1,0.18186142116338624,0.9961080774831526,1.0,1
AMDHD2,2.051633074325314,0.7262625505550185,0.8257505711789936,1
ARHGEF2,20.062389065568652,0.0004854339101697025,0.0008393961363351105,2
BATF,16.20815624643581,0.0027521973096140506,0.004479066209764043,2
BCL11A,1.9328989190068706,0.7480990816511051,0.8390841050951583,1
betaglobin,72.61043721701589,6.376956923563402e-15,2.646437123278812e-14,0
BPI,25.934696633670303,3.261866216728043e-05,6.60329014605921e-05,2
CD151,31.579290672983706,2.3317698437836654e-06,5.5296256295441205e-06,2
CD44,31.446193692713045,2.482347090802079e-06,5.723189126015904e-06,2
CREG1,13.946036230632505,0.007469292401325348,0.011480579061296368,1
CRIP2,31.789448271613846,2.1123219951213573e-06,5.156550752796255e-06,2
CTCF,5.46147956856265,0.24313626373300962,0.31046630599753533,1
CTSA,40.145456220555,4.038738260870289e-08,1.241538057971237e-07,0
CYP51A1,59.39689193895829,3.8836956206939445e-12,1.4652124387163518e-11,2
DCP1A,16.121302541737492,0.0028606389523342995,0.004566019866225901,1
DCTD,0.4083610808219595,0.9817866506541771,1.0,1
DHCR24,57.29410021659436,1.0733113021026927e-11,3.711868253105146e-11,2
DHCR7,2.651709480997421,0.6176908813226039,0.7120603215246684,2
DPP7,15.711598834205981,0.0034316061183207176,0.005374024675860746,1
EGFR,86.75524640246192,6.434305006414128e-18,2.966929530735403e-17,2
EMB,20.256718810261358,0.0004443657143238988,0.0007847309423166724,2
FAM208B,1.2427302596039131,0.8710144930727372,0.9512395121715419,1
FHL3,141.31285553734483,1.477605377233797e-29,1.2264124631040514e-28,2
FNIP1.F1.R1,0.4922139894133029,0.974254508144155,1.0,1
GLRX5,121.84973406786752,2.1504607447817093e-25,1.4874020151406823e-24,1
GPT2,9.663444048917611,0.046495037396829655,0.063263739408801,0
GSN,35.981968354537706,2.918517620758253e-07,8.352998707687415e-07,2
HMGCS1,25.305556112482936,4.3670618186090026e-05,8.630145974870171e-05,2
HRAS1,11.385286292224759,0.02255870490046494,0.03284864046909807,2
HSD17B7,75.75169242996395,1.3816843767900786e-15,6.0357791196619224e-15,2
HSP90AA1,9.761815484528727,0.044636801505759945,0.061747575416301256,1
HYAL1,23.450265650681402,0.00010292048843198513,0.00018983112310788367,0
LCP1,392.30523024842887,1.2788045793471276e-83,1.0614078008581159e-81,2
LDHA,59.023784745315595,4.651758242254646e-12,1.6786779743788505e-11,2
MAPK12,13.09112239672239,0.01083903045121858,0.016064991561627537,0
MFSD2B,48.27560965112394,8.268217814332511e-10,2.6394695330369167e-09,0
MID2,128.37100112253725,8.684449475729202e-27,6.552811877141125e-26,2
MKNK2,31.927869226207306,1.979146204806556e-06,4.97785257572558e-06,0
MTFR1,4.164278194998516,0.38422950740376216,0.46218911760162695,1
MVD,30.51602545990578,3.8423482622910104e-06,8.392497520267208e-06,2
MYO1G,11.089693713193347,0.025574261177109352,0.036597649615518556,2
NCOA4,92.39485898951986,4.079713247124768e-19,2.1163512469459736e-18,0
NSDHL,180.51083428061847,5.792006342259692e-38,6.00920658009443e-37,2
PDLIM7,31.14331641693667,2.862073175762386e-06,6.420326313196703e-06,2
PIK3CG,3.343108804220454,0.5021311562321447,0.5953840852466858,1
PLAG1,32.430288756453955,1.5622946394857702e-06,4.052201721166216e-06,0
PLS1,17.21229471144254,0.0017577088414570394,0.002917796676818685,1
PLS3,2.7257394319187638,0.604718115519165,0.7069239941984604,1
PPP1R15B,202.92722468137163,8.820286849018958e-43,1.220139680780956e-41,1
PTPRC,277.58506301003837,7.390152622303572e-59,1.5334566691279913e-57,2
RBM38,34.84998574305054,4.986881829712169e-07,1.3351973931164839e-06,0
REXO2,10.51740308161504,0.03255810959006176,0.04580208637245976,1
RFFL,189.10756913765312,8.242539012908628e-40,9.773296258163087e-39,0
RPL22L1,87.65500245281129,4.144790585973914e-18,2.0236330507990288e-17,0
RSFR,25.005422973427258,5.0183665605069986e-05,9.686614523769324e-05,2
RUNX2,106.68514480629604,3.704719638013698e-22,2.19636949967955e-21,2
sca2,59.7574039122407,3.2621479180348814e-12,1.2893251295090245e-11,2
SCD,203.16768437395774,7.830272007488877e-43,1.220139680780956e-41,2
SERPINI1,5.913973883301647,0.20566552818736264,0.2667224818679859,1
SLC25A37,48.96035972045501,5.951075498482614e-10,1.975757065496228e-09,0
SLC6A9,35.76045289349326,3.241332007864112e-07,8.967685221757377e-07,0
SLC9A3R2,6.64154476984311,0.156087550837664,0.20563915427819227,0
SMPD1,0.07770020263241369,0.9992645988597824,0.9992645988597824,1
SNX22,121.47183116554476,2.589792104203651e-25,1.6534826511454082e-24,0
SNX27,0.5344401388051654,0.9700627781339319,1.0,1
SQLE,379.70359698514454,6.746954667323599e-81,2.7999861869392934e-79,2
SQSTM1,39.91631937776367,4.5043748327484856e-08,1.335225396850444e-07,1
STARD4,5.156455259077456,0.2716176154698657,0.34157972854543717,2
STX12,285.72810882409124,1.2968262776349088e-60,3.5878860347899144e-59,0
SULF2,7.928247228970117,0.09424223481679182,0.12616299177086648,2
SULT1E1,0.2564267552511823,0.9924505633605923,1.0,1
TADA2L,24.073361909527176,7.72152208829001e-05,0.00014565598484728883,1
TBC1D7,92.5610966918876,3.7609342294365892e-19,2.0810502736215794e-18,0
TNFRSF21,4.433093149063523,0.35055478379245697,0.42788304492314605,1
TPP1,23.379935708952964,0.00010630947884543845,0.00019181927704720416,1
TTYH2,19.48623897664803,0.0006305904304573615,0.0010681429740400205,0
UCK1,29.74637064834101,5.5121594536560555e-06,1.1731006016755196e-05,1
VDAC3,1.0018709930234824,0.90951215333294,0.9803832302160261,1
WDR91,13.323588332244142,0.009798284256958452,0.014786501696864573,1
XPNPEP1,4.965420366622171,0.2908640205615416,0.36032408517325304,1
