,ktest,p-value,p-value_adj,cluster
HBA1,202.8308700525514,9.251275245433579e-43,2.5003446609279945e-41,3
HBBA,299.3246436375538,1.5152494715734008e-63,6.31353946488917e-62,3
HINTW,20.32933697247063,0.0004299187616093031,0.001589348471753431,4
ENSGALG00000052767,237.25988063742528,3.610035038632425e-50,1.1645274318169113e-48,3
ENSGALG00000053077,35.07741753794865,4.4783191845568057e-07,2.501854293048495e-06,0
HBAD,225.9137315311656,1.0004537143515539e-47,2.942510924563394e-46,3
KPNA2,0.9199605608893806,0.921679848744902,1.0,1
ENSGALG00000047563,0.2812496236906248,0.9909921965379896,1.0,1
THY1,25.60479177447921,3.801408932947734e-05,0.00016857689281364675,1
ENSGALG00000050153,19.668493249220713,0.0005805500604963926,0.002073393073201402,1
LDHA,164.22164720957971,1.8171048601429004e-34,3.993637055259122e-33,0
CRIP1,51.30269608866517,1.9296576778925255e-10,1.4958586650329656e-09,0
MLANA,27.76577891616986,1.391313411618362e-05,6.456210726767342e-05,0
ID2,143.9427472838148,4.040006780296797e-30,7.622654302446787e-29,0
CD99,1.574621602858283,0.8133460153838867,1.0,1
HIST1H101,0.27299400346881153,0.9914901400155236,1.0,4
HSPA5,44.82670612662496,4.319843941599087e-09,2.9792027183441983e-08,0
MT-MT-CO1,37.17043361578832,1.6613888018646664e-07,9.762633399567082e-07,1
RSFR,326.49059831055405,2.0843004809368715e-69,9.694420841566844e-68,0
MT-ND3,61.86469330301101,1.1762059504488967e-12,1.114887156823599e-11,4
CDK1,8.252540198926773,0.08275326735459893,0.18471711463080115,4
ENSGALG00000050596,1.0669545179064654,0.8994791692558829,1.0,4
HSP90B1,51.90490147145222,1.4440828639418643e-10,1.169297865539971e-09,1
IFI6,0.42997902059963555,0.9799496687618655,1.0,1
ENSGALG00000053107,23.636821833847335,9.444164508309092e-05,0.00040102609377108667,0
CCDC170,0.2498584821759152,0.9928168190395641,1.0,1
MT-ND4L,1.0839276472519286,0.8968138088359574,1.0,1
ENSGALG00000011747,5.038524151902534,0.2833674692174066,0.5247545726248269,4
SAT1,176.88442428641156,3.479988676631818e-37,8.487777260077604e-36,1
TUBB1,80.87903361405874,1.1343724819460914e-16,1.267455287090605e-15,4
DDC,11.859032113336411,0.01843091098613755,0.048953282831706635,1
ENSGALG00000040263,48.57162450118091,7.172699888201218e-10,5.332862370409827e-09,0
LBH,0.40228017083824946,0.9822897937858617,1.0,4
PTGS1,3.5412987775706943,0.4716266228739674,0.769374588701415,0
ASTL,76.06908995289353,1.1837394358368452e-15,1.266031482178444e-14,1
SMC2,0.23012737979739883,0.993866720188992,1.0,2
MARCKSL1,18.223432983550232,0.0011159807195358028,0.003782985489951874,1
FTL,0.02696879653685202,0.9999098986686344,1.0,1
PCNA,63.687374551146085,4.863111656834414e-13,4.721467627994577e-12,4
RPLP1,5.35061353541484,0.2531760545883523,0.48164433696222525,4
RLN3,24.023128545574572,7.902662386651948e-05,0.00033917005951295914,1
PDLIM1,60.37696452606297,2.4171465220125327e-12,2.2175656165252593e-11,4
LAMP3,111.13426763714476,4.1693137847594423e-23,6.317142098120368e-22,0
ATP1B1,80.0033308697203,1.7389973983087357e-16,1.9215440865289896e-15,4
LY6E,192.4203528056222,1.6001585505645678e-40,4.1562559754923837e-39,0
CSTA,7.018368676174318,0.13492070314546403,0.2816716140823884,0
ENSGALG00000043758,82.39605103754761,5.410245622601343e-17,6.254619216880166e-16,0
HINT2,37.31314464732861,1.5526064186093135e-07,9.187020228457476e-07,0
CD200R1,10.376123339734942,0.034546820081566766,0.08669214575048122,1
RPLP0,28.348446469804372,1.060033359173458e-05,5.000157354591783e-05,4
ENSGALG00000037441,1.712536034320519,0.7884391972890121,1.0,1
C11H16orf70,6.953511499514715,0.13836541914839492,0.28736327964360314,1
CDC20,5.52805854132645,0.2372740984690059,0.45673551197113743,4
CCNB1,2.402227079001078,0.6622248336266877,0.976249522354287,4
HIST1H103,1.3914668304611877,0.845676758421882,1.0,4
ENSGALG00000040725,4.738983911408505,0.31514262095454415,0.5688494963078414,1
TEC,13.892926201815799,0.0076447498245085345,0.022190855804088635,1
MT-ATP8,3.989105605832375,0.4074822534565189,0.6877337611080487,0
RRM2,11.614839536112479,0.02045748173527854,0.053906407734594305,1
ALAS1,1.5832844574358784,0.8117932550470021,1.0,0
DPYSL3,1.9407286185447656,0.7466596239503454,1.0,1
CHAC1,0.5929766053224047,0.9638409390715232,1.0,1
TARP,174.79817504398568,9.76127050092112e-37,2.324112024028838e-35,1
RPLP2,11.333346454800907,0.023062386965807785,0.060215109571299705,4
PPP1R14B,0.6757019222866372,0.9542912172714572,1.0,1
CLCN5,2.452900243795952,0.6530891218494546,0.9696943160348249,1
ARAP2,7.197614747055309,0.12580648697422275,0.26597565956495295,1
RPS26,13.849567852105944,0.007790978077097498,0.022549864188415335,1
LPAR3,109.74778684350139,8.237203994783476e-23,1.2113535286446289e-21,1
RFESD,1.2352279877718289,0.8722651993446755,1.0,1
ALG10,0.4571422274693197,0.9775368244182785,1.0,1
AvBD14,1526.8915700168795,0.0,0.0,1
MAMLD1,20.69718065678908,0.000363585239353641,0.0013642973334095348,1
ENSGALG00000050194,11.633373480140639,0.020296370510612446,0.05355242878789563,1
DIPK1A,2.486494890126461,0.6470557140605782,0.9658357184817712,1
TOP2A,0.05910008191559103,0.9995719040556819,1.0,4
ENSGALG00000032052,1.3820561856553146,0.8473076646030203,1.0,1
ENSGALG00000011164,2.0647559070799226,0.7238497466671787,1.0,1
HMGB2,3.1707673232309106,0.5296654245285228,0.8347760827872701,2
CD83,4.686176621125924,0.32103880127432916,0.5784482905843769,1
CDKN2A,3.0351446877106545,0.5519613450335381,0.8571621615275019,1
ENSGALG00000040833,6.5335293197973785,0.16268998677653201,0.33134416858764154,4
SLC20A1,0.14301393998516831,0.9975620474557408,1.0,1
TUBA3E,32.09109024333516,1.8328173576916058e-06,9.423225489416995e-06,4
PABPC1L,0.5482592560124051,0.9686360537144019,1.0,1
LCP1,171.16458914216466,5.881807547382786e-36,1.367862220321578e-34,0
ENSGALG00000051178,4.814400233699672,0.3068766993266611,0.5574508616288122,1
TANK,14.363115941701519,0.006221928466820099,0.01838088173358966,1
HSPA8,453.68543055343264,6.935785333095464e-97,4.78330022972101e-95,0
ENSGALG00000030007,227.98976570740788,3.5754435574339585e-48,1.0672965843086443e-46,1
ENSGALG00000001136,0.31727572584411395,0.9886718483494948,1.0,1
RNF138,42.55396046644741,1.2805048055153455e-08,8.536698703435638e-08,1
SLC4A1,38.42481949442444,9.157450007200132e-08,5.533202421268962e-07,1
PACS2,0.13414398550896806,0.9978487666376308,1.0,1
ENSGALG00000031149,86.63382003931795,6.827700732157942e-18,8.176887104380769e-17,2
YIPF6,200.18363469388265,3.430773497835673e-42,9.148729327561794e-41,1
STK26,43.93732855671466,6.610983436458122e-09,4.528070846889125e-08,1
CYP3A4,170.91876254632376,6.6416258976437e-36,1.5268105511824599e-34,1
TRAF3,66.61297229623122,1.1763947884796352e-13,1.1705420780891892e-12,1
ENSGALG00000051895,8.507993317221874,0.07464530852023753,0.17022875375196697,1
LYVE1,9.182025662516319,0.056707297420299105,0.13421845543266062,1
REEP1,4.353993134622135,0.36021280668292144,0.6313984341506073,4
LGALS2,39.130278491270296,6.547863878112412e-08,4.054404878088181e-07,1
CHN1,50.98422490088546,2.249224577974649e-10,1.7368529559649799e-09,0
C15orf48,14.308168539626962,0.00637376246010204,0.01877396895464518,1
HSP90AA1,95.90800895379239,7.30514252857228e-20,9.87181422780038e-19,0
GSTT1,232.3997700600116,4.01752251510808e-49,1.2554757859712752e-47,1
PDK4,7.457162781183863,0.11361313544131911,0.2432829452704906,1
ENSGALG00000031327,1.0287223280550022,0.9054099196850317,1.0,1
SLC38A9,3.1632788339592612,0.5308823810391782,0.8357762483449548,1
TRAF6,0.46317777573584273,0.9769852020615094,1.0,1
ALDOB,71.33554974533969,1.185677960688989e-14,1.2160799596810142e-13,1
VAMP1,3.9104813865096353,0.41825641863063223,0.7005970161317123,1
PTTG2,0.08559328853180317,0.9991099371437242,1.0,1
TREM-B2,15.9070831127512,0.00314641239404132,0.009832538731379124,0
ENSGALG00000052796,2.384429931451876,0.6654428413314656,0.9792552705271346,1
ENSGALG00000007302,15.261969675202257,0.004187605361876455,0.012747657113779162,1
BCL2L1,11.91480233172954,0.01799619095739962,0.04792594129800165,1
METTL7A,16.516927137815767,0.0023984670969350763,0.007724531713156446,1
ENSGALG00000002527,4.06186587858979,0.3976979559706457,0.6764150093601892,1
ENSGALG00000003283,0.5849402839775635,0.9647223725926798,1.0,1
ENSGALG00000048687,25.117048432534883,4.76556780538927e-05,0.00020947550792919868,4
RNF169,0.868760921731925,0.9289991645520976,1.0,1
FARP2,95.01496575980207,1.1312825161895819e-19,1.5185000217309823e-18,1
ENSGALG00000049285,1.3743296907368856,0.8486441408498713,1.0,1
LGI1,0.9104616974855603,0.9230551441636612,1.0,1
SQSTM1,23.002358795652185,0.0001264888487137787,0.000523763348711299,1
ERMP1,68.75302865053627,4.160873963039795e-14,4.2029029929694903e-13,1
SIN3A,170.66118785338367,7.543252560247431e-36,1.7143755818744162e-34,1
FTH1,1.441579614844283,0.8369370406014929,1.0,4
UBE2D1,12.973387204036028,0.011406563500450523,0.03177315738287054,1
PPP1R10,0.4584746664390432,0.9774155248562222,1.0,1
ENSGALG00000036805,15.352080555826596,0.004024015306026258,0.012305857204973266,1
ZNF831,0.9484046282612919,0.9175159870704233,1.0,1
TNRC6A,1.7220914983776443,0.7867008724015491,1.0,1
TRIM62,1.2849611130862326,0.8639218868897263,1.0,1
ADAM9,17.299605261755367,0.0016902730948865374,0.005581132954276985,1
ENO2,4.186562661656039,0.38134573133607463,0.6546707834095702,4
MT-ND6,37.27954954669651,1.577557417762437e-07,9.307123408627946e-07,1
TMEM243,822.7667387678639,8.990293550220405e-177,1.634598827312801e-174,1
ENSGALG00000047058,0.24069966874973478,0.9933136083445504,1.0,1
LUZP2,0.5199044188907403,0.9715345781964495,1.0,1
TMBIM1,14.228713881942173,0.006599760051782055,0.019360872801486566,1
ENSGALG00000045540,345.5256289357626,1.621884191792386e-73,8.10942095896193e-72,1
COPB2,3.24380887870431,0.5178842587562129,0.8194371182851471,1
BTG1,16.405507062473095,0.0025206189435711514,0.008065980619427683,0
ENSGALG00000001805,124.30751156708303,6.417502063711094e-26,1.0350809780179185e-24,1
EFHC1,149.66863188511317,2.3973713047110117e-31,4.892594499410228e-30,1
SMOC1,10.243371871354714,0.036521710120099894,0.09107658384064812,1
ENSGALG00000052861,0.1047283641095789,0.998675930369207,1.0,1
BLVRA,12.953787337922266,0.011503818581921704,0.031999495360004744,1
TSPAN9,2.3247220178989147,0.676271724414995,0.9887013514839108,1
LAMP5,130.47260558283466,3.0855299104118604e-27,5.185764555314052e-26,0
CYP51A1,1.9079997670065132,0.7526752722837933,1.0,0
ENSGALG00000013101,70.47937866970462,1.797967527900956e-14,1.8253477440618844e-13,2
CD74,20.57947684928382,0.0003836253182211067,0.0014314377545563682,1
HSPB9,13.41186604118852,0.00942921466512511,0.02678754166228724,1
MCU,2.4861925195227155,0.6471099313827867,0.9658357184817712,1
CAP2,14.972148826565462,0.004759332281405391,0.014378647375847103,1
ATP6V0C,272.6318603115192,8.639023610445128e-58,3.0853655751589745e-56,0
ENSGALG00000002012,2.268485003294207,0.6865125875637255,0.9978380633193684,1
PLK3,3.9534021409117837,0.41234891520107364,0.6936062492869195,1
HBE,3.4233400336755957,0.4896299734529691,0.7878197481141901,1
CAPN15,0.08624059986126273,0.9990966180300563,1.0,1
ATF2,15.616505958816733,0.003579386511164129,0.011081691985028263,4
CBX1,0.28893817777061825,0.9905170125810647,1.0,4
ENSGALG00000027159,20.018531063559738,0.000495210173557668,0.0017974960927683047,1
EXD2,9.818106615983188,0.043605688185019635,0.10674587070996239,1
ALKBH2,0.3416374713784785,0.9869701753188912,1.0,1
SGCB,20.85788777133953,0.000337888428359147,0.0012823090260309184,1
PTPN7,309.4479055900874,9.921937839810637e-66,4.3138860173089724e-64,0
S100A11,0.26496933432249226,0.9919618522713508,1.0,1
PNRC1,55.07485831701925,3.133728137116309e-11,2.6670026698862203e-10,1
RO60,35.10093052406626,4.4287849074466397e-07,2.4880814086778875e-06,1
ENSGALG00000051595,16.123434996731113,0.002857926757697313,0.009044072018029472,1
CA6,3.4254035894977615,0.48931115441304807,0.7878197481141901,1
ENSGALG00000012080,0.2677283456953453,0.9918010445453457,1.0,1
PDCD4,115.7046454066715,4.413865471320581e-24,6.790562263570125e-23,4
ITPKA,94.20986233179435,1.677945774365065e-19,2.2224447342583645e-18,1
SLC48A1,32.87843089051631,1.2649296958577494e-06,6.640050896891073e-06,2
ANKRD46,32.858562001828,1.276830921091039e-06,6.684978644455702e-06,1
P3H4,82.90910705790398,4.211535158731975e-17,4.925772115475995e-16,1
THSD1,241.67121366471997,4.0507642272948074e-51,1.3281194187851826e-49,1
HEBP1,51.7920387070326,1.5247186064286293e-10,1.2246735794607466e-09,1
GZMA,83.05610512901725,3.9198678242012427e-17,4.611609204942639e-16,0
ENSGALG00000026294,119.02353039344834,8.633931301140953e-25,1.3596742206521187e-23,1
APLP2,0.8381313899110133,0.9332641481722392,1.0,0
NMRK2,27.732329184596775,1.4131887426888297e-05,6.542540475411249e-05,0
ENSGALG00000049131,87.76871545854323,3.920672904871385e-18,4.752330793783497e-17,1
SH3TC1,7.399156634904559,0.11623915462068164,0.2483742620100035,1
ENSGALG00000043329,9.728939863683552,0.04524976365140158,0.11009674854355615,0
KIF4B,0.3732603126887963,0.9846070339195441,1.0,4
ARRDC3,15.92045654292014,0.0031277775702821128,0.009804945361385934,1
BUB1B,3.744563328310677,0.44167765720549923,0.7294428690429385,2
FNDC3B,5.458124641861984,0.24343495257331152,0.4676944333781201,1
UBE2C,3.9234771347473045,0.41646114226080866,0.698760305806726,4
NCMAP,0.24874236341614891,0.9928782289477092,1.0,1
ENSGALG00000044768,0.6066923941242588,0.9623171143754939,1.0,1
DEUP1,2.545070268128266,0.6365838544717926,0.9543985824164806,1
RPL4,8.571189698088176,0.072758489772366,0.16649539993676432,4
KDM2A,11.95600965371698,0.017681404367630698,0.04721336279741174,1
TMSB4X,115.01976794270516,6.180220542033233e-24,9.435451209211043e-23,4
RBM38,33.367472728260324,1.0044293421942636e-06,5.385680119004095e-06,2
C3,48.24773107306433,8.379628702989867e-10,6.207132372585087e-09,1
SLC4A4,46.913306781349775,1.5896514009227491e-09,1.1561101097619994e-08,1
TTC28,16.291835090865305,0.002651552568577812,0.00847141395711761,1
UBE2H,0.7534914355683651,0.944572174866141,1.0,0
ENSGALG00000016651,7.052716177657002,0.133128503355562,0.27880314838861153,1
MGST2,23.05566913109495,0.00012342441277690832,0.0005142683865704513,1
ENSGALG00000033705,29.232469527357168,7.011746803489558e-06,3.3629481071892364e-05,0
THADA,82.21336781079586,5.91486791216606e-17,6.798698749616161e-16,1
ENSGALG00000044661,9.18658575081372,0.05660122243001407,0.13412611950240302,1
E2F7,1.7601465193830788,0.7797651333838497,1.0,1
UGP2,2.7894096718148575,0.5936621725847627,0.9035953920620438,1
PCMTD2,12.70105969768998,0.01283271576220197,0.035449491055806547,1
SRGAP1,1.5228922510368035,0.8225788031578374,1.0,1
EIF2AK2,18.620026957925077,0.0009331936022363343,0.0032136814567190557,1
ENSGALG00000000264,31.865517472794064,2.038067294275981e-06,1.0424896645912946e-05,2
SMIM5,22.324043883310072,0.00017274331374968522,0.0006923579709406221,1
MYSM1,4.470582967342857,0.346049843952538,0.6130200955757981,1
MEP1B,1.818095791882334,0.7691700043233023,1.0,1
ENSGALG00000046098,40.7223016209204,3.068239127772274e-08,1.9605361838800473e-07,1
FUCA2,32.07405759312826,1.8475693330961134e-06,9.474714528698017e-06,1
C1QTNF6,22.57328813254024,0.00015406572789037522,0.0006224877894560615,1
INPP5D,34.25399265130248,6.609458056577886e-07,3.6117257139769865e-06,1
ATG7,1.3448357583902808,0.8537238757231757,1.0,1
NEU2,0.042904381730663244,0.9997731661727022,1.0,1
ZBTB21,7.081230022533611,0.13165735281680896,0.2765910773462373,1
AKAP10,13.673188865985471,0.008414573999643144,0.02417981034380214,1
USP54,8.313395433336076,0.08074967679408393,0.1806480465192034,1
CHGB,29.569273249821265,5.988919635574941e-06,2.8931978915820974e-05,1
ENSGALG00000037737,5.90442400036668,0.20640055055401862,0.40814748393646844,0
SLC35F5,0.5047361365593506,0.973038280750987,1.0,1
FLVCR1,12.736437618911793,0.012638054557770137,0.03496004027045681,1
TFPI,0.8751707880974118,0.9280956340540297,1.0,1
ENSGALG00000046788,0.16614408716930051,0.9967347869014563,1.0,1
SF3B1,0.9181018833176902,0.9219495662826371,1.0,1
CYP1B1,0.9492148331220143,0.9173964004594695,1.0,1
INKA2,11.890746121389025,0.01818246938883045,0.04835763135327248,1
UBIAD1,5.689442048760728,0.22357240012116522,0.4349657589905938,0
E4F1,10.109537919203893,0.038622404621557214,0.09583723231155637,1
CR1L,48.01729275178408,9.359821072849546e-10,6.882221377095254e-09,2
PGRMC1,21.025245988009726,0.00031304021008119853,0.0011948099621419792,0
GNAI1,5.1744450858635735,0.26986206934655976,0.5030047890895801,1
TFRC,21.157705983668926,0.00029466466547655346,0.0011311503473188233,4
ENSGALG00000051549,0.3984634880776823,0.982602509246903,1.0,1
HDX,0.6174644854017952,0.9611033536929033,1.0,2
BAK1,0.34040496911282936,0.9870587801186039,1.0,0
ENSGALG00000007728,9.274991069828758,0.05458175431579993,0.12995655789476174,4
AS3MT,0.8880391643637198,0.9262704903923872,1.0,1
VLDLR,60.628114461134814,2.140481909172143e-12,1.9727943863337722e-11,1
TPX2,14.381742442771092,0.006171267992000956,0.018258189325446615,2
PODXL,1.1822377377890583,0.8810143111134409,1.0,1
FBRSL1,0.9497713822399404,0.9173142224701748,1.0,1
HOXD4,18.85814490616896,0.0008380145300262852,0.0029148331479175137,1
SIRT5,1.3980742278815084,0.844529655834348,1.0,1
RPS28,96.9004563603448,4.492639325602945e-20,6.154300446031431e-19,1
CNN3,80.6356358759429,1.2774135683421915e-16,1.4193484092691016e-15,1
WDR60,32.513985665695074,1.5019063002345944e-06,7.802110650569322e-06,1
GAS6,6.9456381134745815,0.13878904154478597,0.28794406959499164,0
GAN,2.401338996525072,0.6623853009173837,0.976249522354287,1
