,ktest,p-value,p-value_adj,cluster
CTTNBP2,7.730614854825305,0.10195971220406304,0.21022621073002687,1
MAFG,16.667945629721725,0.002242167874934425,0.006443011134869038,1
ERAP1,25.720082121590867,3.603459515226203e-05,0.0001332147695092866,1
ENSGALG00000034354,316.728383731243,2.6649930849461707e-67,7.955203238645286e-66,0
KCMF1,3.0490004777867448,0.5496590396241118,0.8495502930820893,4
RAB9A,1.1869177733598224,0.8802477889638205,1.0,1
CUL4A,1.0954835644304781,0.8949881255688854,1.0,1
ATXN7L3,4.51538639525777,0.34072694822213156,0.5864491363547876,1
BET1L,17.413127591163974,0.0016063970594978826,0.004766756853109444,4
TEX9,26.27967811342764,2.7789764780098145e-05,0.00010427679091969285,1
ADPGK,3.7869894333746386,0.4356005172062879,0.710604432636685,1
ENSGALG00000047426,3.1601594658413643,0.5313898054144033,0.8296484081411449,1
ITFG2,8.003544022791242,0.09144845859372154,0.19191701698577449,4
RIT1,124.81609254717857,4.996596149370369e-26,5.743213964793527e-25,4
IKBIP,0.9566417223750867,0.9162976966583806,1.0,1
IFI30,54.29759444003777,4.559182946432766e-11,2.7715397850655117e-10,1
FGGY,2.8952747292864123,0.5755010960383651,0.8806443703724025,1
BBS2,3.9087043546102187,0.4185023474705619,0.6900286025895498,1
SESN1,59.35094999829834,3.970966802587448e-12,2.570205050218413e-11,1
SLC30A7,0.10167920213227521,0.9987506447354145,1.0,1
FBP1,0.3035184077893902,0.9895859181290584,1.0,1
ENSGALG00000050039,0.7384059997805674,0.9465095853433005,1.0,1
EPM2A,1.5012548922203086,0.8264191556583476,1.0,1
SLC26A2,2.696869457246011,0.6097625283983419,0.9173618659015901,1
BCAS3,24.867965192916216,5.348041290096787e-05,0.0001920302079029367,1
C11H16ORF87,5.856750655580523,0.21010468132172147,0.39252667518624895,2
TCP11X2,7.490810461909453,0.11211519596527753,0.22857328433287977,1
LRCH2,5.295586637651564,0.2582903590389221,0.4658076808637009,1
PNISR,0.4312455749188074,0.9798397317508836,1.0,4
SETDB2,4.1176541122075845,0.39031720330957637,0.6554445059774582,4
STK24,0.90403381177118,0.923981391715877,1.0,4
MYBL1,211.64594927926748,1.1757926005473174e-44,2.1378047282678496e-43,1
STARD8,0.034710688136584726,0.9998511272502912,1.0,1
MTFP1,0.27705739784609,0.9912466505479792,1.0,4
ENSGALG00000023546,20.721807321562295,0.00035952540955095123,0.0011468115137191427,1
RAP1B,52.885845912930634,9.003571981140762e-11,5.327557385290392e-10,2
ENSGALG00000040371,0.06047278109532027,0.9995519911335856,1.0,4
PPP4R2,0.11204320123584345,0.9984881835351687,1.0,0
TARBP1,0.32098329977169837,0.9884196756968607,1.0,1
ZNF292,4.625082197591152,0.3279725049850725,0.5684098873224828,1
ENSGALG00000033569,73.53394033695855,4.068364768747438e-15,3.153771138563905e-14,4
SH3BGRL3,140.1623672548396,2.605453438135387e-29,3.319048965777563e-28,4
OIT3,21.797738496865314,0.00021988060269228718,0.0007232914562246289,1
CD24,5.173710318935772,0.26993358248837046,0.48331885852886386,1
VPS50,0.43543591382594166,0.9794742049022663,1.0,0
BMS1,1.4403752677884454,0.8371481193733392,1.0,1
ENSGALG00000003022,53.745437325949126,5.949848426552088e-11,3.5842460400916194e-10,1
PKNOX1,0.4510558132979722,0.9780874348279632,1.0,1
MTMR9,0.07297357193684884,0.999350329267601,1.0,1
EPS15L1,1.8534714904025447,0.7626862805955628,1.0,1
RPL17,1.3459534659219958,0.8535320224861889,1.0,4
PMS2,1.3497709397806394,0.8528763652071607,1.0,2
DENND6A,1.583255169442857,0.8117985077383368,1.0,1
NAIF1,19.353383951505034,0.0006697346757874017,0.0020720840985254106,1
ENSGALG00000028009,8.973385031115185,0.06176818222866925,0.13545653997515186,4
RPL13,37.59213150441729,1.3600386484517777e-07,6.253051257249553e-07,4
REEP2,4.353062161550926,0.3603277177659084,0.6139357060420445,1
SCUBE1,7.43379385977935,0.1146643886839796,0.23282109377457785,1
NEK7,17.114127298830187,0.001836703079515033,0.005402067880926569,1
ENSGALG00000051749,9.19595027859315,0.05638398079887478,0.12460548242845255,1
SLC25A17,0.06663354452422732,0.9994571709743447,1.0,4
ABCE1,47.74072222681767,1.0688480730200504e-09,5.777557151459731e-09,2
CD151,69.90994797394774,2.3714100783924836e-14,1.7501181390350433e-13,0
NRIP1,7.264110256763362,0.12257226720856124,0.2468726429175453,1
KIAA1328,5.390719197256911,0.24950365149899567,0.45240915956300215,1
ENSGALG00000044313,28.591974856876696,9.460390525235301e-06,3.717245785947073e-05,1
PNRC2,0.5106404994364974,0.9724568928125068,1.0,0
ENSGALG00000044985,207.21630092325077,1.0546721981543989e-43,1.8342125185293896e-42,1
FOXP1,2.3271927642485357,0.6758226744407413,0.980163414707384,1
GSK3B,67.91796143596004,6.242532682462977e-14,4.4749338225541055e-13,2
ENSGALG00000048671,7.52670870739321,0.1105373023149128,0.22581675651667577,1
TK2,11.117613823760406,0.02527351679079881,0.06060795393476933,1
ISG20L2,30.231700835606002,4.390589172108251e-06,1.770398859721069e-05,1
ENSGALG00000030908,118.97900899502814,8.825036139554637e-25,9.860375574921381e-24,0
TRIT1,1.3161258120323485,0.85863366986175,1.0,2
B2M,155.13399247394563,1.615554844902009e-32,2.3079354927171557e-31,4
SOCS4,6.107805485775688,0.19124065206657234,0.3611721474345087,1
NKRF,4.363740980102586,0.35901135489323865,0.6131705463590754,1
